date,text
2023-10-07 18:56:42,"""חרבות ברזל""



מצורף תיעוד מהיערכות כוחות מילואים: 

מצורפות תמונות נוספות מהיערכות כוחות צה""ל בשטח: 

מצורפת ההצהרה המלאה של דובר צה""ל, תת-אלוף דניאל הגרי:"
2023-10-07 19:23:21,"כוחות יבשתיים ואוויריים של צה""ל פעלו בשעות האחרונות במספר מוקדים במרחב הדרום וסיכלו מאות מחבלים. 
מבין האירועים, כלי טיס סיכלו שני מחבלים שניסו לחצות את גדר המערכת ליד מעבר קרני, תשעה מחבלים נוספים סוכלו במרחב הקיבוץ נירים ועוד ארבעה סוכלו במעבר ארז ובקיבוץ ניר עוז על ידי מטוסי קרב. מחבלים נוספים סוכלו בקיבוצים סופה, כפר עזה וכרם שלום.
נוסף על כך, סוכלו מחבלים על ידי הכוחות בנקודות נוספות ועל ידי כלי טיס של צה""ל במהלך השעות האחרונות."
2023-10-07 19:24:28,מצורף תיעוד של סיכול חוליית מחבלים בקיבוץ בארי מוקדם יותר:
2023-10-07 20:33:43,"ראשוני: צה""ל תוקף מטרות של ארגון הטרור חמאס ברצועת עזה, פרטים נוספים בהמשך."
2023-10-07 21:22:12,"מטוסי קרב תקפו מוקדם יותר היום שני מבנים רבי קומות אשר שימשו את בכירי ארגון הטרור חמאס לביצוע פעולות טרור.
אחד מהבניינים מכונה בניין ״פלסטין״, ובו נמצאים משרדים של מספר יחידות ומערכים בארגון הטרור חמאס המשמשים להכוונת טרור, בינהם תשתיות של מטה המודיעין, מטה הייצור ומשרדים של בכירים בהנהגת חמאס.

כמו כן, הותקף בניין ובו משרדים אשר שימשו את הביטחון הכללי של ארגון הטרור חמאס ברצועת עזה.

התשתיות הצבאיות ממוקמות בבניינים רבי קומות, דבר המוכיח פעם נוספת כיצד ארגון הטרור חמאס ממקם במכוון את נכסיו בלב האוכלוסייה האזרחית.

תקיפות אלה מצטרפות לשני מבנים רבי קומות שהותקפו מוקדם יותר היום (ש׳), כאשר בסך הכל הותקפו ארבע מטרות בעלות ערך רב לארגון הטרור.

מצורפים תצלומי אוויר של ארבעת הבניינים רבי הקומות שהותקפו במהלך היום (ש'):"
2023-10-07 21:23:39,"ראשוני: צה""ל תוקף כעת מטרות של ארגון הטרור חמאס ברצועת עזה, פרטים נוספים בהמשך."
2023-10-07 22:20:17,"ראשוני: צה""ל תוקף כעת מטרות של ארגון הטרור חמאס ברצועת עזה, פרטים נוספים בהמשך."
2023-10-07 23:08:16,"ראשוני: צה""ל תוקף כעת מטרות של ארגון הטרור חמאס ברצועת עזה, פרטים נוספים בהמשך."
2023-10-07 23:20:43,"""חרבות ברזל""

מצורפת הודעת דובר צה""ל בנושא מותו של מפקד חטיבת הנח""ל, אלוף-משנה יהונתן שטיינברג ז""ל, במהלך היתקלות עם מחבל סמוך לכרם שלום:"
2023-10-07 23:54:40,"כלי טיס של צה""ל תקפו במהלך השעות האחרונות עמדת שיגור מוטמנת ושני מחבלים שהיו בסמוך אליה. בנוסף, זוהתה חוליית מחבלים שניסתה לחדור לשטח ישראל דרך חוף זיקים וסוכלה על ידי כלי טיס של צה""ל.
מחבלים ורכבים נוספים זוהו כשהם מנסים לחצות את גדר המערכת מרצועת עזה לישראל וסוכלו על ידי כלי טיס של צה""ל.
בנוסף, מטוסי קרב תקפו לפני זמן קצר מפקדה מבצעית של פעילי המערך הרקטי של ארגון הטרור חמאס ומפקדה מבצעית ששימשה את ארגון הג’יהאד האיסלמי פלסטיני.

מצורף תיעוד בנושא: 

מצורף תיעוד מחיסול רוכב אופנוע במרחב הגבול ברצועת עזה:"
2023-10-08 00:34:45,"מטוסי קרב תקפו מוקדם יותר היום שתי תשתיות מבצעיות אשר מוקמו במסגדים ושימשו את ארגון הטרור חמאס להכוונת טרור נגד מדינת ישראל.
חמאס ממשיך בפעולות הטרור לאורך רצועת עזה, תוך ניצול אתרים קדושים וניצול האוכלוסייה האזרחית ברצועת עזה."
2023-10-08 01:20:01,"בקריות השליטה של חיל הים זיהו בשעות האחרונות שבעה מחבלים במרחב חוף זיקים שבשטח בישראל. לוחמי חיל הים וכלי טיס של צה""ל סיכלו את כל המחבלים ומנעו חדירה ליישובים.

כמו כן, מטוסי קרב תקפו לפני זמן קצר שלוש מפקדות מבצעיות בהן השתמש ארגון הטרור חמאס להכוונת טרור ברצועת עזה נגד מדינת ישראל."
2023-10-08 04:26:06,"ראשוני: צה""ל תוקף כעת מטרות של ארגון הטרור חמאס ברצועת עזה, פרטים נוספים בהמשך."
2023-10-08 08:08:29,"""חרבות ברזל""

מצורפת הודעת דובר צה""ל בנושא שמותיהם של 26 חללי צה״ל מהיממה האחרונה אשר משפחותיהם עודכנו: 

בנוסף, מצורף קישור לאתר צה""ל, בו מפורסמות ומתעדכנות פרטיהם ותמונותיהם של החללים:"
2023-10-08 09:21:05,"""חרבות ברזל""



מטוסי קרב תקפו תשתית צבאית בביתו של ראש מחלקת המודיעין בארגון הטרור חמאס

מטוסי קרב תקפו לפני זמן קצר תשתית צבאית בביתו של ראש מחלקת המודיעין בארגון הטרור חמאס. 

צה""""ל ממשיך בשעה זו בתקיפות ברחבי רצועת עזה.

מצורף תיעוד התקיפה:"
2023-10-08 10:40:50,"""חרבות ברזל""



ראשוני: צה""ל תוקף כעת מטרות של ארגון הטרור חמאס ברצועת עזה, פרטים נוספים בהמשך."
2023-10-08 11:15:11,"מצורף תיעוד מהיערכות כוחות צה""ל בעוצבת ""האש"" (98): 

מצורף תיעוד מפעילות כוחות צה""ל במרחב עוטףעזה הלילה (א'): 

מצורפות תמונות בנושא:"
2023-10-08 11:55:01,"שלושה מחבלים סוכלו בשעות הלילה לאחר שניסו להתקרב לגדר הגבול בצפון רצועת עזה. בנוסף, סוכלו שבעה מחבלים בקיבוץ כפר עזה.

סמוך למוצב נחל עוז סוכלה חולייה של שישה מחבלים על ידי כלי טיס מאוייש מרחוק. 

בבארי סוכלו שתי חוליות של מחבלים שניסו לחדור לקיבוץ מצפון ומדרום, המחבלים חוסלו בתקיפה משולבת של שני כלי טיס."
2023-10-08 11:58:35,צה״ל ירה ירי הרחקה לפני זמן קצר לעבר מספר חשודים במרחב התשתית שנתקפה מוקדם יותר היום בהר דב.
2023-10-08 12:18:56,"תקיפת מטרות טרור של ארגון הטרור חמאס בבניינים רבי קומות ברחבי רצועת עזה: 

תקיפת מטרות צבאיות של ארגון הטרור חמאס: 

אינפוגרפיקה של תשתית מבצעית של ארגון הטרור חמאס שמוקמה על ידו בתוך מסגד ברצועה:"
2023-10-08 12:47:06,"צה״ל הקים חמ״ל אחוד לגיבוש תמונת המצב לאיתור נעדרים וחטופים, חיילים ואזרחים. החמ״ל יתכלל את הנתונים עבור כלל גופי הביטחון - צה״ל, משטרה, ושב״כ. 

ראש אכ״א, אלוף יניב עשור מינה את אלוף במיל׳ ליאור כרמלי לעמוד בראש הצוות, שבתוך כל המורכבות ואי הוודאות מחוייב להוציא הודעות מהימנות ובמהירות האפשרית. חלק מהמשפחות כבר קיבלו הודעות אודות יקירהם.

תחת פיקוד החמ״ל ישבו נציגים של כלל גופי הביטחון והמודיעין, וכן מערך אית״ן האחראי על איתור הנעדרים של צה״ל. והוא ימקד את משימתו בגיבוש תמונת המצב כלל הנעדרים והחטופים ומאמצי האיתור והודעות למשפחות החטופים, האזרחים והחיילים.

כמו כן. משטרת ישראל בשיתוף פעולה עם פיקוד העורף, הקימה חמ״ל לכלל האזרחים הממוקם ברחוב הנגב 4, קריית שדה התעופה (בניין להב 443).

בנוסף, בצה״ל קיים מוקד פניות ציבור שמספרו:
1111 שלוחה 5, ולאחר מכן שלוחה 4."
2023-10-08 13:06:22,"מצורפת הודעת דובר צה""ל בנושא שמותיהם של 18 חללי צה״ל נוספים מהיממה האחרונה אשר משפחותיהם עודכנו: 

בנוסף, מצורף קישור לאתר צה""ל, בו מפורסמות ומתעדכנות פרטיהם ותמונותיהם של החללים:"
2023-10-08 13:13:32,"שני מחבלים סוכלו לפני זמן קצר בחוף זיקים על ידי לוחמי צה""ל. עד כה סוכלו עשרות מחבלים ונתקפו עשרות מטרות על ידי זרוע הים.

ספינת טילים סיכלה במהלך הלילה חמישה כלי שיט של ארגון הטרור חמאס.

בנוסף סוכלו כלי שיט של ארגון הטרור הג’יהאד הפלסטיני במעגנת עזה.

כלי השיט שסוכלו יועדו לביצוע פיגועים דרך המרחב הימי במדינת ישראל.

מצורף תיעוד:"
2023-10-08 13:26:45,"דובר צה״ל מדגיש כי בשלב זה מפונים יישובים צמודי גדר (אורים, בארי, נחל עוז, נתיב העשרה, זיקים) ובהתאם להערכת המצב המבצעית התבקשו התושבים להתפנות מבתיהם. המשך הפינויים ייעשו בהתאם להערכת המצב."
2023-10-08 13:37:55,"נחל עוז, ארז, ניר עם, מפלסים, כפר עזה, גבים, אור הנר, איבים, נתיב העשרה, יד מרדכי, כרמיה, זיקים, כרם שלום, כיסופים, חולית, סופה, נירים, ניר עוז, עין השלושה, ניר יצחק, בארי, מגן, רעים, סעד ועלומים."
2023-10-08 14:05:56,"מטוסי קרב תקפו בשעה האחרונה שלוש מפקדות מבצעיות של ארגוני הטרור ברצועת עזה.

הותקפה מפקדה מבצעית של ארגון הטרור חמאס המשמשת להכוונת טרור, מפקדה מבצעית של ארגון הטרור גא""פ ממנה נוהלה לחימה במבצעים האחרונים ומפקדה מבצעית נוספת של ארגון הטרור גא""פ ששימשה את הכוח הרקטי של הארגון.

צה""ל ממשיך לתקוף ברצועת עזה בשעה זו.

מצורף תיעוד מתקיפת אחת המפקדות:"
2023-10-08 15:13:00,"בשל המצב הביטחוני, פיקוד העורף קבע את ההנחיות הבאות מיום ראשון, 8 באוקטובר 2023, בשעה 15:00, עד ליום שלישי, 10 באוקטובר 2023, בשעה 18:00:"
2023-10-08 15:44:13,"צה""ל החל לפני זמן קצר בתקיפה אווירית עצימה ברצועת עזה באמצעות עשרות מטוסי קרב. צה״ל תוקף יעדים במרחבים הסמוכים לגדר בבית חאנון, המשמשים את ארגון הטרור חמאס להוצאת תקיפות נגד מדינת ישראל.

צה""ל ימשיך לפעול כנגד ארגון הטרור חמאס."
2023-10-08 15:46:56,"הרמטכ""ל בהערכת מצב בפיקוד הדרום כעת: 

מצורף תיעוד מהערכת המצב:"
2023-10-08 16:04:39,"בהמשך לדיווחים על שיגור מיירט בצפון הארץ, צה""ל זיהה מטרה שנעה לעבר שטח מדינת ישראל ושיגר מיירט לעברה. 

מבדיקה עולה כי לא מדובר בכלי טיס עוין ולא נשקף איום לתושבים. לא בוצעה תקיפה בשטח לבנון."
2023-10-08 18:32:40,"עשרות מטוסי הקרב תקפו בשלושה סבבים כ-120 מטרות ברחבי בית חאנון. 

בתקיפה הוטלו עשרות טונות של חימושים.

שכונת בית חאנון משמשת כקן טרור עבור חמאס וממנה יוצאות לפועל פעילויות רבות נגד ישראל, גם במסגרת הלחימה בימים האחרונים. 

מדובר בעליית מדרגה משמעותית בגלי התקיפה כחלק מהתפתחות המערכה.

במקביל, הותקפה מנהרת טרור מבצעית ששימשה את ארגון הטרור חמאס.ֶהמנהרה ממקומת מתחת לבניין רב קומות בדרג' פאתח שבצפון העיר עזה. בסמוך למנהרה ממקום מסגד, מה שמוכיח בפעם נוספת כי ארגון הטרור חמאס מנצלים אתרים קדושים ואוכלוסייה אזרחית על מנת לקדם טרור. 


מצורפת ויזואליה מהתקיפה בבית חאנון: 

מצורף תיעוד תקיפת המנהרה:"
2023-10-08 18:43:56,"מצורפת הודעת דובר צה""ל בנושא שמותיהם של 13 חללי צה״ל נוספים מהיממה האחרונה אשר משפחותיהם עודכנו: 

בנוסף, מצורף קישור לאתר צה""ל, בו מפורסמות ומתעדכנות פרטיהם ותמונותיהם של החללים:"
2023-10-08 19:03:28,"לאור המצב הביטחוני, תושבים בקיבוץ מפלסים ובעיר שדרות מתבקשים לא לצאת מבתיהם עד להודעה חדשה ולמלא אחר הנחיות פיקוד העורף."
2023-10-08 19:14:48,"כלי שיט של צה""ל תקפו ביממה האחרונה, בעזרת חימוש מדוייק, מספר עמדות לחימה ששימשו את הכח הימי של ארגון הטרור חמאס.

מצורפת ויזואליה מהתקיפות:"
2023-10-08 19:19:50,"ראשוני: צה""ל תוקף כעת מטרות של ארגון הטרור חמאס ברצועת עזה, פרטים נוספים בהמשך."
2023-10-08 19:26:43,"הרמטכ״ל בהערכת מצב בפיקוד הדרום עם מפקד פיקוד הדרום וחברי פורום מטכ״ל: 

מצורפות תמונות מהערכת המצב:"
2023-10-08 19:54:21,"טייסת 'היסעור' (118) וטייסות 'הינשופים' (123 ו-124) עוסקות ביומיים האחרונים במלאכת פינוי פצועים, חילוץ והטסת כוחות לביצוע משימות שונות, בשיתוף גופי הביטחון והחילוץ הנוספים.

מתוך בור חיל האוויר, ניהלו צוותי דסק פינוי עשרות חילוצים של מאות פצועים - אזרחים ולוחמים, בתנאים מורכבים של לחימה בשטחי הארץ. תחת אש חיה, המסוקים מטיסים כוחות חילוץ ליישובי העוטף על מנת לסייע לתושבי האזור ולהילחם במחבלים.


""במקביל למאמץ ההתקפה ברצועת עזה וביישובי העוטף, עומדת לנגד עינינו משימת הצלת החיים וסיוע לכוחות הלוחמים אשר פועלים במרחב - היבשה, הים והאוויר כאחד. הבנו את החשיבות של המשימה ואת הסיכון הכרוך בביצועה. בשיתוף פעולה מלא ובזמני פעולה קצרים, הטסנו כמויות אדירות של לוחמים וצוותים לנקודות הרלוונטיות, העמסנו את הכוחות על המסוקים והנחתנו אותם בנקודות השונות. לאחר הקרב חזרנו לפנות את הפצועים לבתי החולים"".


""קיבלנו את הדרישות והפעלנו את טייסות המסוקים, שעובדות קשה מאוד. עבודת הצוות של יחידות החילוץ עם הכוחות הקרקעיים הביאו לכך שהצלחנו לפנות כמות גדולה מאוד של פצועים בקצב מאוד מהיר. הדגש הוא לפנות את הפצועים כמה שיותר מהר, בצורה הכי טובה והכי בטוחה. אנחנו מתמקדים במשימה שלנו לעזור כמה שיותר לכוחות הקרקע"".

 :"
2023-10-08 21:20:17,"מטוסי קרב תקפו לפני זמן קצר שתי מטרות אסטרטגיות בבנייני רבי-קומות של ארגון הטרור חמאס ברצועת עזה. 

סניף בנק של הבנק ""הלאומי האיסלאמי"" של ארגון הטרור חמאס בשכונת רימאל הותקף על ידי מטוסי קרב. בנוסף, הושמד חדר פיקוד קדמי, בשימושו של מנתצר פרג', פעיל בכיר בארגון הטרור חמאס. 

צה""ל ממשיך לתקוף בשעה זו ברצועת עזה."
2023-10-08 22:22:10,"כוחות היבשה של צה״ל בסדיר ובמילואים, בשיתוף פעולה עם כוחות הביטחון מנהלים לחימה ממושכת בישובי עוטף עזה, וסיכלו מאות  מחבלים בישובי העוטף, בקו הגבול ובקו החוף ב-40 השעות האחרונות. הלוחמים מבצעים סריקות בכלל מרחב הדרום ובפרט באזורים המאוכלסים, מנהלים חילופי אש עם מחבלים ושומרים בגופם על תושבי העוטף ומדינת ישראל.

במקביל ללחימה, גיוס המילואים של הלוחמים ממשיך בכל עת. 

מצורף תיעוד מההיערכות של גדוד 53 במחסני החירום של חטיבה 188 אמש (ש'):"
2023-10-08 22:25:32,"עשרות מטוסי הקרב תקפו  כ-150 מטרות ברחבי סג'עיה. 

בתקיפה הוטלו כמאה טון חימושים.

שכונת סג'עיה משמשת גם היא כקן טרור עבור חמאס וממנה יוצאות לפועל פעילויות רבות נגד ישראל, גם במסגרת הלחימה בימים האחרונים.

במקביל, הותקפה תשתית צבאית בביתו של פרח חמאד, פעיל בכיר בארגון הטרור חמאס, התשתית הצבאית בדירתו מוקמה בסמוך למסגד ולשלושה בתי ספר, מטרה זו מוכיחה פעם נוספת כי ארגון הטרור חמאס מנצל אתרים קדושים ואוכלוסיה אזרחית על מנת לקדם טרור.

מצורפת ויזואליה מתקיפות צה""ל בסג'עיה: 

בנוסף מצורפת אינפוגרפיקה של סניף הבנק ""הלאומי האיסלאמי"" שהותקף: 

כמו כן, מצורפת אינפוגרפיקה של חפ""ק בשימוש ארגון הטרור חמאס: 

מצורפת אינפוגרפיקה של מבנה ובו פיר של מנהרה מבצעית ששימשה את ארגון הטרור חמאס:"
2023-10-08 23:29:26,"לפני כשעה כלי טיס סיכל מחבל שניסה לחצות את גדר הגבול משטח רצועת עזה לשטח מדינת ישראל. 

צה""ל ימשיך לסכל מחבלים וניסיונות חדירה לשטח מדינת ישראל.

מצורפת ויזואליה של הסיכול על ידי מטוס הקרב:"
2023-10-08 23:44:15,"ספינת טילים תקפה בשעות האחרונות שלושה משגרים רקטיים שכוונו לעבר שטח מדינת ישראל. 

צה״ל ממשיך לתקוף ברצועת עזה."
2023-10-09 03:27:19,"צה""ל תקף מבנה בו שהו פעילים של ארגון הטרור חמאס. 
במקביל, נתקפו מספר מפקדות מבצעיות של ארגון הטרור ביניהן מפקדה המתפרסת על שטח של שלוש קומות ומפקדה המשויכת לבכיר בכוח הימי של חמאס, מחמד קשטה. 

בנוסף, הושמד נכס מבצעי בשימוש ארגון הטרור חמאס הממוקם בלב מסגד במרחב ג'באליה.

כמו כן, הושמד נכס בשימוש מודיעין חמאס ונכס ששימש את ארגון הטרור חמאס להכוונת טרור."
2023-10-09 06:36:59,"מצורפת הודעת דובר צה""ל בנושא שמותיהם של 16 חללי צה״ל נוספים מהיממה האחרונה אשר משפחותיהם עודכנו: 

בנוסף, מצורף קישור לאתר צה""ל, בו מפורסמות ומתעדכנות פרטיהם ותמונותיהם של החללים:"
2023-10-09 07:12:57,"בין המטרות שנתקפו, הושמדו שבע מפקדות מבצעיות של ארגון הטרור חמאס ומפקדה מבצעית נוספת של ארגון הטרור גא""פ.

בנוסף, צה""ל תקף מספר מבנים רבי-קומות, באחד מהם מוקמה מפקדה צבאית של ארגון הטרור חמאס. משם הכוון טרור נגד מדינת ישראל. 

כמו כן, הותקף בניין שהיה בשימוש מבצעי של בכיר בכוח הימי של ארגון הטרור חמאס.

בנוסף, כחלק מגל התקיפה העצים, הושמדו שלוש מנהרות טרור במרחב בית חאנון.

הותקפו מהאוויר גם שני נכסים מבצעיים של ארגון הטרור חמאס, כאשר אחד מהם ממוקם בלב מסגד. בנוסף, הושמד נכס בשימוש של ארגון הטרור גא""פ שמוקם במבנה מגורים בו מתגוררים פעילים בארגון הטרור.

צה""ל ימשיך לתקוף בעוצמה ברצועת עזה ולפגוע אנושות בארגוני הטרור.

מצורפת ויזואליה מתקיפות צה""ל במרחב בית חאנון ומהשמדת מנהרות במרחב: 

מצורפת אינפוגרפיקה של נכס מבצעי בשימוש ארגון הטרור חמאס הממוקם בלב מסגד במרחב ג'באליה: 

מצורפת אינפוגרפיקה של מפקדה צבאית של ארגון הטרור חמאס בביתו של רוחי משתהא, מזכיר הלשכה המדינית של חמאס: 

מצורפת אינפוגרפיקה של מפקדה מבצעית בשימוש ארגון הטרור חמאס: 

מצורפת ויזואליה של תקיפות כחלק ממאמץ ההגנה על גדר הגבול: 

מצורף תיעוד מסיכול מחבלים סמוך לניר-עוז:"
2023-10-09 08:31:05,"-

בסך הכל, מאז תחילת המלחמה, כלי הטיס של חיל האוויר הטילו כ-2,000 חימושים ולמעלה מ-1,000 טון פצצות הוטלו על עזה.

- בוצע אתמול בשעה 15:00 אחר הצהריים. הוא נמשך כשעה וחצי, ובו הטיל חיל האוויר מאות טונות של חימושים על 120 מטרות בעיר בית חאנון. 

- בוצע אתמול בשעה 21:00 בערב. הוא נמשך כשעה וחצי, ובו הטיל חיל האוויר מאה טון חימושים על כ-120 מטרות ברחבי סג'עיה שבעיר עזה.

-  בוצע הלילה בשעה 01:00 בלילה וכלל תקיפה של כ-25 מטרות ובהן 20 תשתיות צבאיות. בנוסף, הותקפו שלושה משגרים רקטים שכוונו לשטח מדינת ישראל ומסגד שממנו נוהלה הלחימה בג'אבליה. 

- הושלם הבוקר לפני זמן קצר, במסגרתו חיל האוויר תקף למעלה מ-500 מטרות בכל רחבי רצועת עזה. 

- סך הכל, לאורכה ולרוחבה. בכל רגע נתון, ישנם עשרות רבות של כלי טיס נמצאים מעל אזור הרצועה. 

- צה""ל ימשיך לבצע תקיפות עצימות ומשמעותיות נוספות ברחבי הרצועה.

- עד כה, באחד מהבניינים מוקמה מפקדה צבאית של ארגון הטרור חמאס. 

- נכון לשעה זו, על פי הערכות צה""ל ישנם למעלה מ-400 מחבלים הרוגים ברצועה, ועוד מאות מחבלים הרוגים בשטח מדינת ישראל. זאת לצד עשרות שבויים מבין המחבלים שנתפסו בשטח הארץ.

- במקביל לתקיפות האוויריות ברצועה, מדובר באופי לחימה של מעבר מדלת לדלת, חיפוש בגינות וסריקות מקיפות.

- בהכוונת בקריות שליטה של חיל הים, חיל הים חיסל עשרות מחבלים שניסו לחדור לשטח הארץ דרך הים.

- . הוא נתפס על החוף.

- מאז תחילת המלחמה, הרמטכ""ל ומפקד סנטקום (פיקוד מרכז של צבא ארצות הברית) שוחחו פעמיים. מפקד סנטקום הדגיש בשיחות את

- צה""ל ממשיך בהעלאת מוכנות בכלל זירות המלחמה - מתגברים כוחות בצפון ומסכלים ניסיונות לפיגועים באיו""ש. אנו עוקבים אחר פעילותיהם של ארגוני הטרור. 

- בימים האחרונים צה""ל גייס מאות אלפי חיילי מילואים לתפקידים שונים בשטח ובמטה. בניגוד לשמועות המופצות – אין מחסור בציוד בצבא. צה""ל נותן לחיילים את כל הציוד הדרוש לביצוע המשימות השונות בחזית ובעורף. לנוכח כמות המתגייסים הרבה – לוקח במקרים מסוימים זמן מה לחלק את כל הציוד."
2023-10-09 08:57:58,"ראש המטה הכללי, רב-אלוף הרצי הלוי, נכח הלילה (ב') בבור חיל האוויר במחנה 'רבין', הקריה בעת שכוחות חיל האוויר ביצעו תקיפת נכס מבצעי של ארגון הטרור חמאס הממוקם בלב מסגד במרחב ג'באליה, כחלק מרצף תקיפות נרחבות של צה""ל ברצועת עזה במהלך הלילה.

הרמטכ""ל קיים הערכת מצב להמשך הפעילות ההתקפית ברצועת עזה עם מפקדי ואנשי המטה המבצעי בסדיר ובמילואים, אשר מובילים את התקיפות.

מצורפות תמונות בנושא: 

מצורף תיעוד מהביקור:"
2023-10-09 09:21:54,"חטיבת הצנחנים בלחימה עיקשת במהלכה מפקדי ולוחמי החטיבה מבצעים סריקות ביישובים ומסכלים מחבלים. מח""ט צנחנים, אלוף-משנה עמי ביטון יחד עם מפקד בא""ח צנחנים, סגן-אלוף דור מנשאוף וסגן מפקד חטיבת הצנחנים, סגן-אלוף גידי אליאסתם מנהלים יחד עם הלוחמים סריקות בעיר שדרות ומטהרים את העיר מחמושים.

מצורפות תמונות מפעילות מפקדי ולוחמי חטיבת ""הצנחנים"" (35):"
2023-10-09 09:55:55,"מצורף תיעוד מפעילות כוחות עוצבת ׳האש׳ (98) בישובי עוטף עזה: 

מצורף תיעוד מהיערכות כוחות צה״ל: 

מצורפות תמונות בנושא:"
2023-10-09 11:09:12,מפקד שלדג מתאר את הלחימה בשטח:
2023-10-09 11:17:23,"ראשוני: צה""ל תוקף כעת מטרות של ארגון הטרור חמאס ברצועת עזה, פרטים נוספים בהמשך."
