alarm_time,cities
30 שניות,אזור תעשייה כרמיאל
30 שניות,אזור תעשייה מבואות הגלבוע
30 שניות,אזור תעשייה נ.ע.מ
דקה,אזור תעשייה ניר עציון
דקה וחצי,אזור תעשייה נשר - רמלה
45 שניות,אזור תעשייה עד הלום
45 שניות,אזור תעשייה עידן הנגב
30 שניות,אזור תעשייה צ.ח.ר
דקה,אזור תעשייה ציפורית
30 שניות,אזור תעשייה צמח
30 שניות,אזור תעשייה צפוני אשקלון
דקה,אזור תעשייה קדמת גליל
דקה וחצי,אזור תעשייה קיסריה
45 שניות,אזור תעשייה קריית גת
דקה וחצי,אזור תעשייה רגבים
מיידי,אזור תעשייה רמת דלתון
מיידי,אזור תעשייה שער נעמן
45 שניות,אזור תעשייה תימורים
דקה,אזור תעשייה תרדיון
דקה,אחווה
30 שניות,אחוזם
דקה,אחוזת ברק
דקה,אחיהוד
דקה וחצי,אחיסמך
דקה וחצי,אחיעזר
דקה,איבטין
15 שניות,איבים
30 שניות,איילת השחר
מיידי,אילון
מיידי,אילניה
דקה וחצי,אירוס
30 שניות,איתן
דקה,אכסאל
דקה וחצי,אל סייד
45 שניות,אל עזי
דקה וחצי,אל עריאן
דקה וחצי,אל פורעה
דקה וחצי,אל רום
דקה,אל-ח'וואלד מערב
דקה,אל-סייד והפזורה
45 שניות,אלומה
45 שניות,ורדון
דקה,אלומות
דקה,אלון הגליל
דקה וחצי,אלון שבות
דקה וחצי,אלוני אבא
מיידי,אלוני הבשן
דקה וחצי,אלוני יצחק
דקה,אלונים
מיידי,אלי עד
מיידי,אליפלט
דקה וחצי,אלישמע
30 שניות,אלמגור
דקה וחצי,אלעד
דקה וחצי,געש
דקה וחצי,צופים
דקה וחצי,אלעזר
דקה וחצי,אלפי מנשה
מיידי,אלקוש
דקה וחצי,אלקנה
45 שניות,אמונים
30 שניות,אמירים
30 שניות,אמנון
30 שניות,אניעם
דקה,אעבלין
דקה,אעצם
מיידי,אפיק
דקה,אפיקים
דקה וחצי,אפק
דקה וחצי,אפרת
דקה וחצי,ארבל
15 שניות,ארז
דקה וחצי,אריאל
דקה וחצי,כרמים
דקה וחצי,ארסוף
30 שניות,אשבול
דקה,אשבל
45 שניות,"אשדוד - א,ב,ד,ה"
45 שניות,אשדוד - אזור תעשייה צפוני ונ
45 שניות,אשדוד - איזור תעשייה צפוני
45 שניות,"אשדוד - ג,ו,ז"
45 שניות,אשדוד - ח
45 שניות,"אשדוד - ח,ט,י,יג,יד,טז"
45 שניות,אשדוד - יא
45 שניות,אשדוד -יא
45 שניות,"אשדוד -יא,יב,טו,יז,מרינה,סיט"
דקה,אשדות יעקב איחוד
דקה,אשדות יעקב מאוחד
דקה,אשחר
דקה,אשכולות
45 שניות,אשל הנשיא
30 שניות,אשקלון
30 שניות,אשקלון - דרום
30 שניות,אשקלון - צפון
30 שניות,אשרת
דקה וחצי,אשתאול
30 שניות,אתר דודאים
45 שניות,אתר ההנצחה גולני
דקה וחצי,באקה אל גרבייה
30 שניות,באר גנים
45 שניות,באר טוביה
דקה וחצי,באר יעקב
דקה,באר שבע - דרום
דקה,באר שבע - מזרח
דקה,באר שבע - מערב
דקה,באר שבע - צפון
דקה וחצי,בארות יצחק
דקה וחצי,בארותיים
15 שניות,בארי
30 שניות,בוסתן הגליל
דקה,בועיינה-נוג'ידאת
מיידי,בוקעתא
דקה וחצי,בורגתה
45 שניות,בטחה
דקה,ביצרון
דקה,ביר אלמכסור
30 שניות,ביריה
דקה,בית אורן
דקה,בית אלעזרי
דקה וחצי,בית אריה
דקה וחצי,בית ברל
30 שניות,בית ג'אן
30 שניות,בית ג'ן
דקה,בית גוברין
דקה,בית גמליאל
דקה וחצי,בית דגן
30 שניות,בית הגדי
מיידי,בית הלל
30 שניות,בית העמק
דקה וחצי,בית זית
דקה,בית זרע
דקה וחצי,בית חורון
דקה,בית חלקיה
דקה וחצי,בית חנן
דקה וחצי,בית חנניה
דקה וחצי,בית חשמונאי
דקה וחצי,בית יהושע
דקה וחצי,בית יצחק - שער חפר
דקה,בית ירח
דקה,בית לחם הגלילית
דקה,בית מאיר
דקה וחצי,בית נחמיה
דקה,בית ניר
דקה וחצי,בית נקופה
דקה וחצי,בית סוהר השרון
דקה וחצי,בית סוהר מגידו
דקה וחצי,בית סוהר נפחא
דקה וחצי,בית סוהר צלמון
דקה,בית סוהר קישון
דקה,בית סוהר שיטה וגלבוע
דקה וחצי,בית ספר אורט בנימינה
מיידי,בית ספר שדה מירון
דקה וחצי,בית עובד
דקה וחצי,בית עוזיאל
45 שניות,בית עזרא
דקה,בית עלמין תל רגב
דקה וחצי,בית עריף
דקה וחצי,בית צבי
45 שניות,בית קמה
דקה,בית קשת
דקה,בית רימון
דקה,בית שאן
דקה וחצי,בית שמש
דקה,בית שערים
30 שניות,בית שקמה
דקה וחצי,ביתר עילית
דקה,בלפוריה
דקה,בן זכאי
מיידי,בן עמי
דקה וחצי,בן שמן
דקה וחצי,בני ברק
45 שניות,בני דרום
דקה וחצי,בני דרור
15 שניות,בני יהודה וגבעת יואב
30 שניות,בני נצרים
דקה וחצי,בני עטרות
דקה,בני עי''ש
דקה וחצי,בני ציון
דקה,בני ראם
דקה,בניה
דקה וחצי,בנימינה
דקה,בסמת טבעון
30 שניות,בענה
דקה וחצי,בצרה
מיידי,בצת
דקה וחצי,בקוע
דקה וחצי,בקעות
דקה וחצי,בר גיורא
30 שניות,בר יוחאי
דקה וחצי,ברוכין
30 שניות,ברור חיל
30 שניות,ברוש
דקה וחצי,ברטעה
30 שניות,ברכיה
מיידי,ברעם
דקה וחצי,ברקאי
דקה וחצי,ברקן
דקה וחצי,ברקת
30 שניות,בת הדר
30 שניות,בת ים
דקה וחצי,בת עין
דקה,בת שלמה
דקה וחצי,בת-ים
30 שניות,ג'דידה מכר
30 שניות,ג'דיידה-מכר
30 שניות,ג'וליס
דקה וחצי,ג'לג'וליה
דקה וחצי,ג'סר א-זרקא
מיידי,ג'ש - גוש חלב
דקה וחצי,ג'ת
דקה וחצי,גאולים
דקה,גאליה
30 שניות,גבולות
15 שניות,גבים
דקה וחצי,גבע בנימין
דקה וחצי,גבע כרמל
30 שניות,גבעולים
דקה וחצי,גבעות
45 שניות,גבעות בר
דקה וחצי,גבעות עדן
דקה,גבעת אבני
דקה,גבעת אלה
דקה וחצי,גבעת ברנר
דקה וחצי,גבעת השלושה
דקה וחצי,גבעת וולפסון
דקה,גבעת וושינגטון
דקה וחצי,גבעת זאב
דקה וחצי,גבעת חביבה
דקה וחצי,גבעת חן
דקה וחצי,גבעת יערים
דקה,גבעת ישעיהו
דקה וחצי,גבעת כ''ח
דקה וחצי,גבעת ניל''י
דקה וחצי,גבעת עדה
דקה וחצי,גבעת שמואל
45 שניות,גבעתי
דקה וחצי,גבעתיים
15 שניות,גברעם
דקה,גבת
30 שניות,גדות
30 שניות,גדעונה
דקה,גדרה
דקה,גונן
מיידי,גורן
מיידי,גורנות הגליל
מיידי,גזית
דקה וחצי,גזר
30 שניות,גיאה
דקה וחצי,גיבתון
דקה וחצי,גיזו
45 שניות,גילת
דקה,גינוסר
דקה וחצי,גינתון
30 שניות,גיתה
דקה,גלאון
דקה וחצי,גמזו
דקה,גן הדרום
דקה וחצי,גן השומרון
דקה וחצי,גן חיים
45 שניות,גן יבנה
דקה,גן נר
דקה וחצי,גן שורק
דקה וחצי,גן שלמה
דקה וחצי,גן שמואל
דקה וחצי,גנות
דקה וחצי,גנות הדר
דקה וחצי,גני הדר
דקה,גני טל
דקה וחצי,גני יוחנן
דקה וחצי,גני עם
דקה וחצי,גני תקווה
דקה וחצי,גניגר
דקה,געתון
דקה,גפן
15 שניות,גשור
מיידי,גשר הזיו
45 שניות,גת
דקה וחצי,גת רימון
דקה,דבוריה
דקה,דברת
דקה,דגניה א
דקה,דגניה ב
מיידי,דוב''ב
45 שניות,דור
30 שניות,דורות
30 שניות,דחי
דקה וחצי,דימונה
30 שניות,דיר אל-אסד
דקה,דיר חנא
מיידי,דישון
מיידי,דלתון
דקה,דמיידה
45 שניות,דניאל
מיידי,דפנה
15 שניות,דקל
דקה,דריג'את
30 שניות,האון
דקה,הבונים
מיידי,הגושרים
דקה וחצי,הוד השרון
30 שניות,הודיה
דקה,הודיות
דקה,הושעיה
דקה,הזורעים
דקה,החותרים
דקה,היוגב
מיידי,הילה
30 שניות,המכללה האקדמית כנרת
דקה,הסוללים
דקה וחצי,הר אדר
דקה וחצי,הר גילה
דקה וחצי,הר הנגב
30 שניות,הר-חלוץ
דקה וחצי,הראל
דקה,הרדוף
דקה וחצי,הרצליה - מערב
דקה וחצי,הרצליה - מרכז וגליל ים
דקה וחצי,הרצליה - פיתוח
דקה,הררית יחד
דקה,ואדי אל חמאם
דקה,ואדי אל נעם
דקה וחצי,ואדי אל נעם דרום
45 שניות,זבדיאל
30 שניות,זוהר
15 שניות,זיקים
דקה וחצי,זיתן
דקה וחצי,זכרון יעקב
דקה,זכריה
דקה וחצי,זמר
15 שניות,זמרת
15 שניות,זמרת ושובה
דקה וחצי,זנוח
30 שניות,זרועה
דקה,זרזיר
45 שניות,זרחיה
מיידי,זרעית
דקה,ח'וואלד
דקה,חג'אג'רה
דקה וחצי,חגור
15 שניות,חד נס
דקה וחצי,חדיד
דקה וחצי,חדרה - מזרח
דקה וחצי,חדרה - מערב
דקה וחצי,חדרה - מרכז
דקה וחצי,חדרה - נווה חיים
15 שניות,חוות שיקמים
דקה וחצי,חולדה
דקה וחצי,חולון
15 שניות,חולית
30 שניות,חולתה
15 שניות,חוסן
15 שניות,חוסנייה
דקה,חוקוק
דקה וחצי,חורה
מיידי,חורפיש
דקה וחצי,חורשים
דקה וחצי,חזון
דקה וחצי,חיננית
דקה,חיפה
דקה,חיפה - כרמל ועיר תחתית
דקה,חיפה - מערב
דקה,חיפה - נווה שאנן ורמות כרמל
דקה,חיפה - קריית חיים ושמואל
דקה,חיפה-מפרץ
דקה וחצי,חירן
דקה וחצי,חלמיש
30 שניות,חלץ
דקה וחצי,חמד
15 שניות,חמת גדר
מיידי,חניתה
דקה,חנתון
מיידי,חספין
דקה,חפץ חיים
דקה,חצב
30 שניות,חצור
30 שניות,חצור אשדוד
30 שניות,חצור הגלילית
דקה,חצרים
דקה וחצי,חרות
דקה וחצי,חריש
30 שניות,חרשים
דקה וחצי,חשמונאים
דקה,טבריה
30 שניות,טובא זנגריה
דקה,טורעאן
דקה וחצי,טייבה
דקה,טייבה בגלבוע
דקה וחצי,טירה
דקה וחצי,טירת יהודה
דקה,טירת כרמל
דקה וחצי,טל מנשה
דקה וחצי,טל שחר
30 שניות,טל-אל
דקה,טמרה
דקה,טמרה בגלבוע
דקה וחצי,טנא עומרים
דקה,טפחות
15 שניות,יבול
דקה,יבנאל
45 שניות,יבנה
דקה,יגור
דקה וחצי,יגל
דקה,יד בנימין
דקה וחצי,יד השמונה
15 שניות,יד מרדכי
30 שניות,יד נתן
דקה וחצי,יד רמב''ם
דקה וחצי,יהוד-מונוסון
דקה,יובלים
דקה,יודפת
מיידי,יונתן
15 שניות,יושיביה
דקה,יזרעאל
15 שניות,יחיעם
15 שניות,יכיני
דקה וחצי,ינוב
30 שניות,ינוח-ג'ת
דקה,ינון
30 שניות,יסוד המעלה
דקה וחצי,יסודות
דקה,יסעור
דקה,יעד
דקה וחצי,יעף
מיידי,יערה
דקה,יערות הכרמל
דקה,יפיע
דקה וחצי,יפית
דקה וחצי,יפעת
מיידי,יפתח
דקה וחצי,יציץ
מיידי,יראון
דקה וחצי,ירוחם
דקה וחצי,ירושלים - אזור תעשייה עטרות
דקה וחצי,ירושלים - דרום
דקה וחצי,ירושלים - כפר עקב
דקה וחצי,ירושלים - מזרח
דקה וחצי,ירושלים - מערב
דקה וחצי,ירושלים - מרכז
דקה וחצי,ירושלים - צפון
דקה וחצי,ירושלים - צפון ואלונים
דקה וחצי,ירחיב
30 שניות,ירכא
דקה וחצי,ירקונה
דקה,ישובי אומן
דקה,ישובי יעל
15 שניות,ישע
דקה,ישעי
דקה וחצי,ישרש
15 שניות,יתד
דקה,כאבול
דקה,כאוכב אבו אלהיג'א
מיידי,כברי
דקה,כדורי
דקה,כוחלה מכחול
דקה וחצי,כוכב יאיר - צור יגאל
דקה וחצי,כוכב יעקב
30 שניות,כוכב מיכאל
30 שניות,כורזים ורד הגליל
30 שניות,כחל
דקה,כינרת מושבה
דקה,כינרת קבוצה
15 שניות,כיסופים
30 שניות,כיסרא סמיע
30 שניות,כישור
30 שניות,כלא דמון
30 שניות,כליל
דקה,כלנית
30 שניות,כמון
דקה,כנות
15 שניות,כנף
דקה וחצי,כסייפה
דקה וחצי,כסייפה והפזורה
דקה וחצי,כסיפה
דקה וחצי,כסלון
דקה,כעביה
דקה,כעביה טבאש
דקה,כפר אביב
דקה וחצי,כפר אוריה
45 שניות,כפר אחים
דקה,כפר ביאליק
דקה וחצי,כפר ביל''ו
מיידי,כפר בלום
דקה וחצי,כפר בן נון
דקה וחצי,כפר ברא
דקה,כפר ברוך
דקה,כפר גדעון
דקה,כפר גלים
דקה וחצי,כפר גליקסון
מיידי,כפר גלעדי
דקה וחצי,כפר דניאל
דקה וחצי,כפר החורש
דקה,כפר המכבי
דקה,כפר הנגיד
דקה,כפר הנוער ימין אורד
30 שניות,כפר הנשיא
דקה וחצי,כפר הס
דקה,כפר הרי''ף וצומת ראם
45 שניות,כפר ורבורג
15 שניות,כפר ורדים
דקה,כפר זוהרים
דקה,כפר זיתים
דקה וחצי,כפר חב''ד
דקה,כפר חיטים
דקה,כפר חנניה
דקה,כפר חסידים
15 שניות,כפר חרוב
15 שניות,כפר טבאש
דקה וחצי,כפר טרומן
דקה,כפר יהושע
מיידי,כפר יובל
דקה וחצי,כפר יונה
דקה וחצי,כפר יחזקאל
30 שניות,כפר יסיף
דקה וחצי,כפר יעבץ
דקה,כפר כמא
דקה,כפר כנא
15 שניות,כפר מימון ותושיה
דקה וחצי,כפר מל''ל
דקה,כפר מנדא
דקה,כפר מנחם
30 שניות,כפר מסריק
30 שניות,כפר מצר
דקה,כפר מרדכי
דקה,כפר נהר הירדן
דקה וחצי,כפר נוער בן שמן
דקה וחצי,כפר נטר
דקה וחצי,כפר סאלד
דקה וחצי,כפר סבא
30 שניות,כפר סילבר
דקה וחצי,כפר סירקין
דקה וחצי,כפר עבודה
15 שניות,כפר עזה
דקה וחצי,כפר עציון
דקה וחצי,כפר פינס
דקה וחצי,כפר קאסם
דקה,כפר קיש
דקה וחצי,כפר קרע
דקה וחצי,כפר רות
30 שניות,כפר שמאי
דקה וחצי,כפר שמואל
דקה וחצי,כפר שמריהו
דקה,כפר תבור
דקה וחצי,כפר תפוח
דקה,כפר תקווה
30 שניות,כרכום
דקה וחצי,כרכור
דקה,כרם ביבנה
מיידי,כרם בן זמרה
דקה,כרם מהר''ל
15 שניות,כרם שלום
45 שניות,כרמי גת
דקה וחצי,כרמי יוסף
30 שניות,כרמיאל
15 שניות,כרמיה
דקה,כרמית
דקה וחצי,כרמל
30 שניות,לבון
דקה,לביא
דקה,לבנים
45 שניות,להב
15 שניות,להבות הבשן
דקה וחצי,להבות חביבה
45 שניות,להבים
דקה וחצי,לוד
דקה,לוזית
30 שניות,לוחמי הגטאות
30 שניות,לוטם וחמדון
דקה וחצי,לטרון
מיידי,לימן
דקה,לכיש
דקה וחצי,לפיד
דקה,לפידות
דקה,לקיה
דקה וחצי,כפר האורנים
דקה,לקיה והפזורה
דקה וחצי,מאור
דקה,מאיר שפיה
דקה וחצי,שילת
דקה,מבוא ביתר
דקה וחצי,מבוא חורון
דקה וחצי,מתתיהו
15 שניות,מבוא חמה
דקה וחצי,מבוא מודיעים
30 שניות,מבועים
15 שניות,מבטחים
15 שניות,מבטחים עמיעוז ישע
30 שניות,מבקיעים
דקה וחצי,מבשרת ציון
30 שניות,מג'דל כרום
מיידי,מג'דל שמס
מיידי,מגדים
דקה,מגדל
דקה,מגדל העמק
דקה,דלית אל כרמל
דקה וחצי,מגדל עוז
דקה וחצי,מגדלים
דקה וחצי,מגל
15 שניות,מגן
15 שניות,מגן שאול
דקה וחצי,מגשימים
דקה וחצי,מדרשת בן גוריון
דקה וחצי,מודיעין
דקה וחצי,מודיעין - ישפרו סנטר
דקה וחצי,מודיעין - ליגד סנטר
דקה וחצי,מודיעין עילית
דקה וחצי,מודיעין-מכבים-רעות
דקה וחצי,מולדה
דקה וחצי,מועאוויה
דקה וחצי,מועצה אזורית דרום השרון
דקה וחצי,מוצא עילית
דקה,מוקיבלה
דקה,מורן
דקה,מורשת
דקה וחצי,מזור
דקה וחצי,מזכרת בתיה
דקה,מזרע
30 שניות,מזרעה
30 שניות,מחניים
דקה וחצי,מחסיה
15 שניות,מטווח ניר עם
מיידי,מטולה
דקה וחצי,מטע
דקה וחצי,מי עמי
דקה וחצי,מייסר
מיידי,מיצר
מיידי,מירון
דקה,מישר
15 שניות,מכללת ספיר
30 שניות,מכמנים
30 שניות,מלילות
מיידי,מלכיה
דקה וחצי,ממשית
45 שניות,מנוחה
דקה,מנוף
מיידי,מנות
דקה,מנחמיה
30 שניות,מנחת מחניים
מיידי,מנרה
דקה,מנשית זבדה
דקה,מסד
30 שניות,מסדה
דקה וחצי,מסילת ציון
45 שניות,מסלול
מיידי,מסעדה
מיידי,מסעודין אל-עזאזמה
דקה,מע'אר
30 שניות,מעגלים
30 שניות,מעגלים גבעולים מלילות
30 שניות,מעגן
דקה וחצי,מעגן מיכאל
דקה,מעון צופיה
מיידי,מעונה
מיידי,מעיין ברוך
דקה וחצי,מעיין צבי
מיידי,מעיליא
דקה וחצי,מעלה אדומים
דקה וחצי,מעלה אפרים
15 שניות,מעלה גמלא
דקה וחצי,מעלה החמישה
דקה וחצי,מעלה מכמש
דקה וחצי,מעלה עירון
דקה,מעלה צביה
דקה וחצי,מעלה שומרון
מיידי,מעלות תרשיחא
דקה וחצי,מענית
דקה וחצי,מעש
15 שניות,מפלסים
מיידי,מצובה
דקה וחצי,מצליח
דקה וחצי,מצפה
דקה,מצפה אבי''ב
דקה וחצי,מצפה אילן
דקה,מצפה נטופה
דקה,מצר
דקה וחצי,מקווה ישראל
מיידי,מרגליות
מיידי,מרום גולן
מיידי,מרחביה מושב
דקה,מרחביה קיבוץ
45 שניות,מרינה
דקה וחצי,מרכז אזורי דרום השרון
מיידי,מרכז אזורי מבואות חרמון
30 שניות,מרכז אזורי מרום גליל
דקה,מרכז אזורי משגב
דקה,מרכז חבר
דקה וחצי,מרכז ימי קיסריה
דקה וחצי,מרכז מיר''ב
45 שניות,מרכז שפירא
דקה וחצי,מרעית
דקה,משגב דב
מיידי,משגב עם
מיידי,משהד
45 שניות,משואות יצחק
דקה וחצי,משמר איילון
דקה וחצי,משמר דוד
30 שניות,משמר הירדן
45 שניות,משמר הנגב
דקה וחצי,משמר השבעה
דקה וחצי,משמרות
דקה וחצי,משמרת
30 שניות,משען
45 שניות,מתחם בני דרום
דקה וחצי,מתחם פי גלילות
דקה וחצי,מתחם צומת שוקת
דקה וחצי,מתן
מיידי,מתת
15 שניות,נאות גולן
מיידי,נאות מרדכי
דקה וחצי,נבטים
דקה וחצי,נבי סמואל
30 שניות,נגבה
30 שניות,נהורה
דקה,נהלל
15 שניות,נהריה
דקה וחצי,נוב
30 שניות,נוגה
30 שניות,נווה
מיידי,נווה אטי''ב
דקה וחצי,נווה אילן
דקה וחצי,נווה דניאל
מיידי,נווה זיו
מיידי,נווה ים
דקה וחצי,נווה ימין
דקה וחצי,נווה ירק
דקה,נווה מבטח
דקה וחצי,נווה מיכאל - רוגלית
דקה וחצי,נווה שלום
45 שניות,נועם
דקה וחצי,נוף איילון
דקה,נוף הגליל
דקה וחצי,נופי פרת
דקה,נופית
דקה וחצי,נופך
דקה וחצי,נורדיה
דקה,נורית
15 שניות,נחל עוז
45 שניות,נחלה
דקה וחצי,נחליאל
דקה וחצי,נחלים
דקה וחצי,נחם
30 שניות,נחף
דקה,נחשולים
דקה וחצי,נחשון
דקה וחצי,נחשונים
מיידי,נטועה
מיידי,נטור
דקה וחצי,נטעים
דקה וחצי,נטף
דקה וחצי,ניל''י
דקה,נין
45 שניות,ניצן
דקה,ניצנה
דקה וחצי,ניצני עוז
30 שניות,ניצנים
דקה וחצי,ניר אליהו
45 שניות,ניר בנים
45 שניות,ניר גלים
30 שניות,ניר ח''ן
15 שניות,ניר יצחק
30 שניות,ניר ישראל
30 שניות,ניר משה
15 שניות,ניר עוז
15 שניות,ניר עם
דקה,ניר עציון
30 שניות,ניר עקיבא
דקה וחצי,ניר צבי
15 שניות,נירים
דקה וחצי,נירית
מיידי,נמרוד
דקה וחצי,נס הרים
30 שניות,נס עמים
דקה וחצי,נס ציונה
דקה,נעורה
דקה וחצי,נען
דקה וחצי,נצר חזני
דקה וחצי,נצר סרני
דקה,נצרת
דקה וחצי,נשר
דקה וחצי,נתיב הל''ה
15 שניות,נתיב העשרה
30 שניות,נתיב השיירה
30 שניות,נתיבות
דקה וחצי,נתניה - מזרח
דקה וחצי,נתניה - מערב
30 שניות,סאג'ור
מיידי,סאסא
דקה וחצי,סביון
45 שניות,סגולה
דקה וחצי,סואעד חמירה
דקה,סולם
15 שניות,סופה
45 שניות,סיט
דקה וחצי,סינמה סיטי גלילות
דקה,סכנין
דקה,סלמה
דקה וחצי,סלעית
דקה וחצי,סנדלה
30 שניות,סעד
דקה וחצי,סעייה-מולדה
מיידי,סער
30 שניות,ספסופה - כפר חושן
דקה וחצי,סתריה
מיידי,ע'ג'ר
מיידי,עבדון
דקה וחצי,עבדת
15 שניות,עברון
דקה,עגור
דקה,עדי
דקה וחצי,עדנים
30 שניות,עוזה
דקה,עוזייר
דקה וחצי,עולש
דקה וחצי,עומר
דקה,עופר
דקה וחצי,עופרים
30 שניות,עוצם
45 שניות,עזר
דקה וחצי,עזריאל
דקה וחצי,עזריה
45 שניות,עזריקם
45 שניות,עיילבון
דקה וחצי,עיינות
דקה,עילבון
דקה,עילוט
דקה,עין איילה
30 שניות,עין אל אסד
30 שניות,עין אל-סהלה
15 שניות,עין גב
דקה,עין דור
15 שניות,עין הבשור
דקה,עין הוד
30 שניות,עין המפרץ
15 שניות,עין השלושה
דקה וחצי,עין ורד
מיידי,עין זיוון
מיידי,עין חוד
דקה,עין חרוד
15 שניות,עין יעקב
15 שניות,עין כמונים
דקה,עין כרמל
דקה,עין מאהל
דקה וחצי,עין נקובא
דקה וחצי,עין עירון
45 שניות,עין צורים
45 שניות,עין קנייא
דקה וחצי,עין ראפה
דקה וחצי,עין שמר
דקה וחצי,עין שריד
דקה וחצי,עינבר
דקה וחצי,עינת
30 שניות,עכו
30 שניות,עכו - אזור תעשייה
15 שניות,עלומים
דקה וחצי,עלי
דקה וחצי,עלי זהב
מיידי,עלמה
דקה וחצי,עלמון
דקה וחצי,עמוקה
דקה וחצי,עמינדב
30 שניות,עמיעד
15 שניות,עמיעוז
דקה וחצי,עמיקם
15 שניות,עמיר
15 שניות,עמנואל
30 שניות,עמקה
30 שניות,ענב
דקה,עפולה
דקה וחצי,עץ אפרים
דקה,עצמון - שגב
דקה,עראבה
מיידי,ערב אל עראמשה
30 שניות,ערב אל-נעים
דקה וחצי,ערד
45 שניות,ערוגות
45 שניות,ערוער - ערערה בנגב
דקה וחצי,ערערה
דקה וחצי,ערערה בנגב
דקה וחצי,ערערה-בנגב
דקה וחצי,עשאהל
דקה,עשרת
דקה,עתלית
דקה וחצי,פארק תעשיות פלמחים
דקה,פארק תעשייה ראם
45 שניות,פדויים
דקה וחצי,פדיה
דקה,פוריה כפר עבודה
דקה,פוריה נווה עובד
דקה,פוריה עילית
דקה,פוריידיס
דקה וחצי,פורת
30 שניות,פטיש
30 שניות,פלך
דקה וחצי,פלמחים
דקה וחצי,פנימיית עין כרם
דקה וחצי,פסגות
מיידי,פסוטה
30 שניות,פעמי תש''ז
15 שניות,פקיעין
דקה וחצי,פרדס חנה
דקה וחצי,פרדסיה
30 שניות,פרוד
15 שניות,פרי גן
דקה וחצי,פתח תקווה
דקה וחצי,פתחיה
30 שניות,צאלים
מיידי,צבעון
דקה וחצי,צובה
15 שניות,צוחר
15 שניות,צוחר ואוהד
דקה וחצי,צופית
דקה וחצי,צור הדסה
דקה וחצי,צור יצחק
דקה וחצי,צור משה
דקה וחצי,צור נתן
מיידי,צוריאל
30 שניות,צורית גילון
דקה וחצי,צורן
דקה,ציפורי
דקה וחצי,צלפון
דקה וחצי,צפריה
דקה,צפרירים
30 שניות,צפת
דקה,צרופה
דקה וחצי,צרעה
דקה,קבוצת גבע
דקה,קבוצת יבנה
דקה וחצי,קדומים
דקה וחצי,קדימה
דקה וחצי,קדימה-צורן
30 שניות,קדיתא
30 שניות,קדמה
15 שניות,קדמת צבי
דקה,קדרון
דקה,קדרים
45 שניות,קוממיות
דקה,קורנית
דקה,קיבוץ דן
דקה וחצי,קיסריה
30 שניות,קלחים
דקה וחצי,קלנסווה
15 שניות,קלע
דקה וחצי,קציר
דקה וחצי,קצר א-סר
דקה וחצי,קצר-א-סיר
דקה וחצי,קצר-א-סיר והפזורה
30 שניות,קצרין
30 שניות,קצרין - אזור תעשייה
דקה וחצי,קריית אונו
דקה,קריית אתא
דקה,קריית ביאליק
45 שניות,קריית גת
45 שניות,קריית חינוך מרחבים
דקה,קריית טבעון-בית זייד
דקה,קריית ים
דקה וחצי,קריית יערים
דקה,קריית מוצקין
45 שניות,קריית מלאכי
דקה וחצי,קריית ענבים
דקה וחצי,קריית עקרון
מיידי,קריית שמונה
דקה וחצי,קרית ארבע
דקה וחצי,קרית אתא
דקה וחצי,קרית חינוך מרחבים
דקה וחצי,קרית מוצקין
דקה וחצי,קרני שומרון
דקה,קשת
30 שניות,ראמה
30 שניות,ראס אל-עין
