loc,lat,long,km_from_Gaza
אשדוד - ג,31.8021533926547,34.6620138963342,28.04
"אשדוד - ג,ו,ז",31.7966,34.6579,27.313
אשדוד - ח,31.7875644040759,34.6542456235291,26.298
"אשדוד - ח,ט,י,יג,יד,טז",31.7778,34.6462,24.974
אשדוד - יא,31.7845740935601,34.6313075231948,24.796
אשדוד -יא,31.7845740935601,34.6313075231948,24.796
"אשדוד -יא,יב,טו,יז,מרינה,סיט",31.7845740935601,34.6313075231948,24.796
אשדות יעקב איחוד,32.6588,35.5796,156.345
אשדות יעקב מאוחד,32.6648,35.5828,157.049
אשחר,32.8851,35.2996,162.003
אשכולות,31.3912,34.9049,36.477
אשל הנשיא,31.3268,34.6975,25.66
אשלים,30.9642,34.6997,47.848
אשקלון,31.6687885,34.5742523,11.315
אשקלון - דרום,31.661,34.5688,10.34
אשקלון - צפון,31.686,34.5839,13.334
אשרת,32.9716,35.1557,164.899
אשתאול,31.7804,35.0101,49.989
אתר דודאים,31.3122,34.7338,29.049
אתר ההנצחה גולני,32.7774,35.4103,157.104
באקה אל גרבייה,32.4229,35.0358,105.164
באר גנים,31.7004,34.6109,16.25
באר טוביה,31.7371,34.7256,26.34
באר יעקב,31.9435,34.839,50.729
באר מילכה,30.9341,34.4056,33.972
באר שבע - דרום,31.2413,34.7711,37.448
באר שבע - מזרח,31.2345,34.8201,40.931
באר שבע - מערב,31.2612,34.7794,36.176
באר שבע - צפון,31.2698,34.8151,37.711
בארות יצחק,32.042,34.9102,63.429
בארותיים,32.321,34.9834,92.909
בארי,31.4245,34.4926,5.336
בוסתן הגליל,32.9486,35.0807,159.954
בועיינה-נוג'ידאת,32.8077,35.3653,157.649
בוקעתא,33.2027,35.7768,215.368
בורגתה,32.326,34.9638,92.478
בטחה,31.3339,34.6343,21.229
ביצרון,31.795,34.7293,31.46
ביר אלמכסור,32.7773,35.2206,147.973
ביריה,32.9781,35.5031,180.507
בית אורן,32.7316,35.0063,134.986
בית אלעזרי,31.8447,34.8066,40.382
בית אריה,32.0401,35.0495,71.739
בית ברל,32.1997,34.9261,78.596
בית ג'אן,32.9657,35.3813,173.515
בית ג'ן,32.965655,35.381268,173.509
בית גוברין,31.6129,34.8956,32.761
בית גמליאל,31.8561,34.7609,38.57
בית דגן,32.0018,34.8297,55.274
בית הגדי,31.4228,34.6079,12.063
בית הלל,33.2088,35.6065,207.374
בית העמק,32.971,35.1453,164.468
בית זית,31.7831,35.1611,62.804
בית זרע,32.6893,35.5741,158.573
בית חגי,31.4925,35.0795,49.683
בית חורון,31.8799,35.1241,65.041
בית חלקיה,31.793,34.8097,36.177
בית חנן,31.9352,34.7756,46.293
בית חנניה,32.5295,34.9267,111.396
בית חשמונאי,31.8903,34.9176,51.026
בית יהושע,32.2621,34.8654,81.917
בית יצחק - שער חפר,32.3356,34.8895,90.257
בית ירח,32.7144,35.574,160.696
בית יתיר,31.3656,35.1113,55.72
בית לחם הגלילית,32.7346,35.1913,142.503
בית מאיר,31.7948,35.0368,52.979
בית נחמיה,31.9771,34.9538,60.603
בית ניר,31.6476,34.8731,31.815
בית נקופה,31.8044,35.1269,60.935
בית סוהר השרון,32.2408,34.8848,80.628
בית סוהר מגידו,32.5709,35.1898,126.657
בית סוהר נפחא,30.7265,34.7735,72.496
בית סוהר צלמון,32.8717,35.4474,167.755
בית סוהר קישון,32.7262,35.0915,137.541
בית סוהר שיטה וגלבוע,32.5476,35.4151,136.94
בית ספר אורט בנימינה,32.5498,34.955,114.486
בית ספר שדה מירון,33.0115,35.3922,178.454
בית עובד,31.9213,34.7749,45.011
בית עוזיאל,31.8701,34.9049,48.559
בית עזרא,31.7364,34.6575,22.192
בית עלמין תל רגב,32.7678,35.1219,142.922
בית עריף,31.9954,34.9351,60.982
בית צבי,32.7189,34.9697,132.457
בית קמה,31.4466,34.7622,21.589
בית קשת,32.7184,35.395,150.887
בית רימון,32.7818,35.3277,153.36
בית שאן,32.4971,35.4973,137.677
בית שמש,31.747,34.9881,46.34
בית שערים,32.6965,35.1788,138.223
בית שקמה,31.6377,34.6101,10.92
ביתר עילית,31.701,35.1119,55.153
בלפוריה,32.63,35.2963,137.574
בן זכאי,31.8572,34.7274,36.634
בן עמי,33.0054,35.1222,167.22
בן שמן,31.9513,34.9198,56.331
בני ברק,32.0849,34.8352,63.261
בני דקלים,31.5172,34.917,34.084
בני דרום,31.8209,34.6916,31.377
בני דרור,32.2618,34.9018,83.435
בני יהודה וגבעת יואב,32.7983,35.6911,174.887
בני נצרים,31.1435,34.3164,9.34
בני עטרות,32.0215,34.9101,61.67
בני עי''ש,31.7902,34.7593,32.894
בני ציון,32.2198,34.8684,77.848
בני ראם,31.77,34.7905,33.062
בניה,31.8434,34.7518,36.947
בנימינה,32.5171,34.9551,111.151
בסמת טבעון,32.7363,35.1532,141.041
בענה,32.9295,35.2719,165.176
בצרה,32.2145,34.8781,77.756
בצת,33.07,35.1326,174.264
בקוע,31.8279,34.9247,46.6
בקעות,32.2421,35.4526,114.39
בר גיורא,31.7297,35.0734,52.823
בר יוחאי,32.9977,35.4482,179.701
ברוכין,32.0822,35.0941,78.025
ברור חיל,31.557,34.6465,8.367
ברוש,31.371091,34.634933,18.263
ברטעה,32.4721,35.095,112.674
ברכיה,31.668,34.6243,14.263
ברעם,33.059,35.4332,184.915
ברקאי,32.4761,35.031,110.127
ברקן,32.1095,35.106,81.061
ברקת,32.0183,34.9432,63.433
בת הדר,31.6481,34.5971,10.912
בת ים,32.013186,34.748019,52.281
בת עין,31.6577,35.1011,52.875
בת שלמה,32.6003,35.0038,121.437
בת-ים,32.0132,34.748,52.282
בתי מלון ים המלח,31.1691,35.3673,86.888
ג'דידה מכר,32.9287,35.1506,160.327
ג'דיידה-מכר,32.928656,35.150573,160.321
ג'וליס,32.945,35.1842,163.234
ג'לג'וליה,32.1525,34.954,75.693
ג'סר א-זרקא,32.5363,34.9116,111.581
ג'ש - גוש חלב,33.0213,35.4479,181.949
ג'ת,32.3984,35.0361,102.822
גאולים,32.2965,34.9439,88.708
גאליה,31.8856,34.7654,41.337
גבולות,31.2112,34.4662,13.681
גבים,31.506273,34.598949,4.848
גבע בנימין,31.85,35.2739,75.632
גבע כרמל,32.6622,34.9541,126.051
גבעולים,31.397604,34.593821,13.563
גבעות,31.6789,35.1019,53.537
גבעות בר,31.3572,34.7555,26.922
גבעות עדן,31.6622,35.0139,45.005
גבעת אבני,32.7754,35.4362,158.283
גבעת אלה,32.722,35.2448,143.699
גבעת ברנר,31.8666,34.8023,41.976
גבעת השלושה,32.0963,34.9206,68.798
גבעת וולפסון,32.7202,35.0161,134.148
גבעת וושינגטון,31.8175,34.7289,33.364
גבעת זאב,31.8612,35.1673,67.361
גבעת חביבה,32.457652,35.02009,107.839
גבעת חן,32.1676,34.8755,73.092
גבעת יערים,31.7861,35.0928,57.133
גבעת ישעיהו,31.6717,34.9437,39.023
גבעת כ''ח,32.032091,34.938796,64.331
גבעת ניל''י,32.549043,35.041194,117.768
גבעת עדה,32.521,35.0114,113.744
גבעת שמואל,32.0773,34.8492,63.243
גבעתי,31.7331,34.6795,23.153
גבעתיים,32.0722,34.8089,60.788
גברעם,31.5915,34.6122,7.054
גבת,32.6766,35.2132,137.858
גדות,33.0182,35.6195,190.19
גדעונה,32.5499,35.3592,133.838
גדרה,31.8123,34.777,35.835
גונן,33.124,35.6462,201.34
גורן,33.0556,35.2336,176.321
גורנות הגליל,33.0593,35.2497,177.303
גזית,32.6393,35.4462,146.68
גזר,31.8761,34.9203,50.038
גיאה,31.6285,34.6027,9.719
גיבתון,31.8883,34.7991,43.642
גיזו,31.8056,34.9397,46.093
גילת,31.3263,34.6489,22.805
גינוסר,32.8487,35.5232,169.613
גינתון,31.9628,34.9131,56.876
גיתה,32.9672,35.2491,167.997
גלאון,31.6334,34.8489,29.122
גמזו,31.9272,34.9411,55.567
גן הדרום,31.8041,34.6999,30.427
גן השומרון,32.465,34.999,107.657
גן חיים,32.1958,34.907,77.292
גן יבנה,31.7831,34.7031,28.914
גן נר,32.5287,35.3363,130.662
גן שורק,31.944,34.7583,46.168
גן שלמה,31.8788,34.7989,42.841
גן שמואל,32.4529,34.9493,104.426
גנות,32.0182,34.8259,56.56
גנות הדר,32.3217,34.9007,89.315
גני הדר,31.8782,34.8576,46.36
גני טל,31.7886,34.7914,34.684
גני יוחנן,31.8599,34.8408,43.783
גני עם,32.1498,34.9034,72.772
גני תקווה,32.0605,34.8731,62.955
גניגר,32.6634,35.2599,138.842
געש,32.2285,34.8244,76.906
געתון,33.0061,35.2138,170.551
גפן,31.7404,34.8784,37.109
גרופית,29.9416,35.0647,160.697
גשור,32.8199,35.7157,178.206
גשר הזיו,33.0405,35.1106,170.482
גת,31.6278,34.7941,24.033
גת רימון,32.0681,34.8814,64.095
דבוריה,32.6941,35.3685,147.258
דברת,32.6467,35.3501,141.956
דגניה א,32.7069,35.5751,160.124
דגניה ב,32.6991,35.5776,159.614
דוב''ב,33.0508,35.407747,182.977
דור,32.607548,34.923294,119.364
דורות,31.5072,34.6457,8.755
דחי,32.6225,35.3436,139.413
דימונה,31.0694,35.0334,68.153
דיר אל-אסד,32.9344,35.2684,165.515
דיר חנא,32.8623,35.3653,162.827
דישון,33.0823,35.5176,191.076
דלית אל כרמל,32.6938,35.0554,132.877
דלתון,33.0166,35.4899,183.495
דמיידה,32.815,35.2266,151.937
דניאל,31.3109,34.5931,20.32
דפנה,33.2308,35.6383,210.99
דקל,31.196642,34.34709,7.101
דריג'את,31.301885,35.076793,55.54
האון,32.7267,35.6227,164.688
הבונים,32.6366,34.9327,122.694
הגושרים,33.2215,35.623,209.371
הוד השרון,32.15,34.8839,71.817
הודיה,31.6764,34.6393,15.909
הודיות,32.7886,35.435,159.428
הושעיה,32.7579,35.2952,149.52
הזורעים,32.7481,35.4999,159.314
החותרים,32.7523,34.9575,135.564
היוגב,32.6128,35.2075,131.49
הילה,33.0362,35.2446,174.77
המכללה האקדמית כנרת,32.7054,35.5918,161.009
הסוללים,32.7518,35.238,146.264
הר אדר,31.8245,35.1297,62.236
הר ברכה,32.1933,35.2649,97.961
הר גילה,31.7221,35.1715,61.25
הר הנגב,30.6817,34.785,77.205
הר עמשא,31.3427,35.1016,55.768
הר-חלוץ,32.9506,35.3123,168.979
הראל,31.80944,34.94903,47.05
הרדוף,32.7637,35.1747,144.66
הרצליה - מערב,32.1738,34.8104,70.847
הרצליה - מרכז וגליל ים,32.1678,34.8413,71.554
הרצליה - פיתוח,32.1772438548416,34.8094640399948,71.154
הררית יחד,32.8457,35.3693,161.44
ואדי אל חמאם,32.8284,35.4917,166.075
ואדי אל נעם,31.1498515558458,34.8120748226558,45.586
ואדי אל נעם דרום,31.1413,34.8265,47.228
ורדון,31.6638,34.7818,24.784
זבדיאל,31.6592,34.7603,22.787
זוהר,31.5956,34.6924,13.75
זיקים,31.6072,34.521,3.141
זיתן,31.9752,34.8917,56.662
זכרון יעקב,32.5739,34.952,116.851
זכריה,31.7088,34.9447,40.742
זמר,32.3657,35.0347,99.637
זמרת,31.447853,34.552288,6.736
זמרת ושובה,31.447853,34.552288,6.736
זנוח,31.7338,34.9994,46.618
זרועה,31.4591,34.6242,10.102
זרזיר,32.7233,35.2204,142.7
זרחיה,31.6817,34.7464,23.214
זרעית,33.099,35.2885,182.805
ח'וואלד,32.7589,35.1584,143.503
חברון,31.5249,35.108,52.178
חג'אג'רה,32.741,35.2049,143.728
חגור,32.1386,34.9476,74.089
חד נס,32.9275,35.6414,183.181
חדיד,31.9694,34.9322,58.611
חדרה - מזרח,32.4258,34.9506,101.754
חדרה - מערב,32.439,34.8854,100.636
חדרה - מרכז,32.4352,34.9209,101.541
חדרה - נווה חיים,32.446,34.9049,102.049
חוות גלעד,32.2005,35.1812,93.36
חוות יאיר,32.1453,35.1048,84.024
חוות שדה בר,31.6609,35.2447,66.271
חוות שיקמים,31.5113,34.6339,7.547
חולדה,31.8321,34.8815,43.974
חולון,32.0158,34.7874,54.369
חולית,31.2306,34.3273,3.294
חולתה,33.0529,35.6092,192.85
חוסן,32.9977,35.2987,173.063
חוסנייה,32.9006,35.3225,164.536
חוקוק,32.8786,35.4967,170.932
חורה,31.3004,34.9357,44.171
חורפיש,33.0167,35.3471,176.984
חורשים,32.1379,34.971,75.342
חזון,32.9066,35.3953,168.485
חי-בר יטבתה,29.8462,35.0294,168.593
חיננית,32.4809,35.1732,117.404
חיפה,32.7940463,34.989571,140.928
חיפה - כרמל ועיר תחתית,32.8072,34.9877,142.244
חיפה - מערב,32.8087,34.9603,141.572
חיפה - נווה שאנן ורמות כרמל,32.7812,35.0015,139.97
חיפה - קריית חיים ושמואל,32.8283,35.0656,147.001
חיפה-מפרץ,32.7940463,34.989571,140.928
חירן,31.3096,34.9845,47.473
חלמיש,32.0083,35.1289,74.359
חלץ,31.5779,34.6584,10.027
חמד,32.018,34.8413,57.373
חמת גדר,32.6834,35.6647,163.603
חניתה,33.0876,35.1734,177.449
חנתון,32.7831,35.2451,149.626
חספין,32.8456,35.793,185.077
חפץ חיים,31.7893,34.7997,35.248
חצב,31.7801,34.7706,32.717
חצבה,30.7679,35.2785,105.379
חצור,31.773,34.7199,29.002
חצור אשדוד,31.772744,34.719366,28.948
חצור הגלילית,32.9804,35.5435,182.76
חצרים,31.2406,34.7174,33.747
חרוצים,32.22771,34.86477199999999,78.473
חרות,32.241,34.9141,81.966
חריש,32.4619,35.0456,109.391
חרשים,32.9577,35.3282,170.367
חשמונאים,31.9326,35.0233,61.343
טבריה,32.7959,35.531,165.304
טובא זנגריה,32.9662,35.592,183.98
טורעאן,32.7751,35.3783,155.245
טייבה,32.2669,35.0097,89.122
טייבה בגלבוע,32.6047,35.4446,143.589
טירה,32.234394,34.951488,83.127
טירת יהודה,32.0148,34.9359,62.699
טירת כרמל,32.7621,34.973,137.07
טל מנשה,32.4831,35.1607,116.964
טל שחר,31.8044,34.9033,43.357
טל-אל,32.9273,35.1825,161.375
טללים,30.9915,34.7713,51.213
טמרה,32.8522,35.2013,154.564
טמרה בגלבוע,32.6349,35.4027,143.802
טנא עומרים,31.3761,34.9574,41.708
טפחות,32.8686,35.4222,166.199
יבול,31.1895,34.319,5.745
יבנאל,32.7088,35.5038,156.079
יבנה,31.878,34.7394,39.156
יגור,32.7415,35.0768,138.527
יגל,31.9878,34.8803,56.999
יד בנימין,31.7967,34.8204,37.156
יד השמונה,31.8095,35.0896,58.114
יד מרדכי,31.587,34.5575,3.54
יד נתן,31.653,34.7049,18.154
יד רמב''ם,31.899841,34.900086,50.746
יהוד-מונוסון,32.0303,34.8871,61.056
יהל,30.0842,35.1284,150.222
יובלים,32.8782,35.2693,160.0
יודפת,32.8366,35.2715,156.02
יונתן,32.9397,35.7955,193.169
יושיביה,31.4447,34.6088,10.15
יזרעאל,32.5626,35.3194,132.701
יחיעם,32.9961,35.2211,169.813
יטבתה,29.8963,35.0592,164.896
יכיני,31.4822,34.5986,6.634
ינוב,32.3074,34.9514,90.107
ינוח-ג'ת,32.9816,35.2412,169.129
ינון,31.7418,34.7809,30.153
יסוד המעלה,33.0536,35.589,191.883
יסודות,31.8158,34.8656,41.628
יסעור,32.9011,35.1666,158.115
יעד,32.8812,35.2406,159.075
יעף,32.2683,34.9674,87.116
יערה,33.068,35.1861,175.869
יערות הכרמל,32.7073,35.0107,132.631
יפיע,32.695,35.282,142.913
יפית,32.0627,35.4743,103.826
יפעת,32.6759,35.224,138.297
יפתח,33.1283,35.552,197.102
יצהר,32.1685,35.2359,94.084
יציץ,31.8632,34.8619,45.313
יקום,32.249196,34.84190299999999,79.679
יקיר,32.1498,35.1146,85.007
יראון,33.0772,35.4543,187.637
ירוחם,30.9878,34.9297,64.213
ירושלים - אזור תעשייה עטרות,31.8606,35.2167,71.377
ירושלים - דרום,31.7377,35.1847,62.994
ירושלים - כפר עקב,31.8749,35.2175,72.225
ירושלים - מזרח,31.7627,35.2403,68.89
ירושלים - מערב,31.7742,35.1727,63.409
ירושלים - מרכז,31.7781,35.2164,67.394
ירושלים - צפון,31.8211,35.2389,71.259
ירושלים - צפון ואלונים,31.7837385790528,35.2178921418203,67.763
ירחיב,32.1515,34.968,76.379
ירכא,32.9535,35.212,165.157
ירקונה,32.1445,34.8979,71.997
ישובי אומן,32.5655,35.2384,128.608
ישובי יעל,32.5521,35.3065,131.045
ישע,31.247595,34.403091,6.702
ישעי,31.753,34.9626,44.568
ישרש,31.9157,34.8473,48.886
יתד,31.207,34.3261,5.676
כאבול,32.87,35.2054,156.508
כאוכב אבו אלהיג'א,32.8319,35.2487,154.556
כברי,33.021,35.147,169.673
כדורי,32.7062,35.4063,150.386
כוחלה מכחול,31.287112,35.048572,53.985
כוכב יאיר - צור יגאל,32.2209,34.9924,83.983
כוכב יעקב,31.8803,35.2459,74.855
כוכב מיכאל,31.6315,34.6678,13.936
כורזים ורד הגליל,32.9042,35.5508,176.134
כושי רמון,30.3066,35.1346,130.521
כחל,32.8905,35.5116,172.806
כינרת מושבה,32.7238,35.5652,160.975
כינרת קבוצה,32.7142,35.5627,160.003
כיסופים,31.3745,34.399,2.44
כיסרא סמיע,32.9723,35.3041,170.77
כישור,32.9467,35.2502,165.991
כלא דמון,32.7332,35.0234,135.74
כליל,32.9836,35.1997,167.736
כלנית,32.8753,35.454,168.425
כמהין,30.9103,34.4307,37.352
כמון,32.9125,35.3555,167.189
כנות,31.8022,34.7509,33.369
כנף,32.8704,35.6979,181.429
כסייפה,31.249246,35.083681,59.028
כסייפה והפזורה,31.2347,35.0681,58.676
כסיפה,31.249246,35.083681,59.028
כסלון,31.7743,35.0482,52.788
כעביה,32.7567,35.1865,144.469
כעביה טבאש,32.7504,35.184,143.741
כפר אביב,31.831,34.7226,34.091
כפר אוריה,31.7934,34.9448,45.652
כפר אחים,31.7459,34.7559,28.894
כפר אלדד,31.654,35.251,66.72
כפר ביאליק,32.8214,35.0877,147.075
כפר ביל''ו,31.870475,34.826734,43.788
כפר בלום,33.1725,35.6079,203.991
כפר בן נון,31.8617,34.9472,50.706
כפר ברא,32.1309,34.9701,74.673
כפר ברוך,32.646,35.1931,133.976
כפר גדעון,32.6446,35.2893,138.563
כפר גלים,32.7662,34.9595,137.082
כפר גליקסון,32.5058,35.0035,111.904
כפר גלעדי,33.2421,35.5741,209.055
כפר דניאל,31.9335,34.9323,55.564
כפר האורנים,31.9199,35.0369,61.317
כפר החורש,32.7015,35.273,143.087
כפר המכבי,32.7918,35.1148,145.07
כפר הנגיד,31.8871,34.7487,40.491
כפר הנוער ימין אורד,32.7016,34.9898,131.325
כפר הנשיא,32.9747,35.6023,185.304
כפר הס,32.2477,34.9351,83.595
כפר הרי''ף וצומת ראם,31.747,34.7909,31.228
כפר ורבורג,31.7187,34.7287,24.927
כפר ורדים,32.9951,35.2691,171.595
כפר זוהרים,31.6226,34.9257,35.787
כפר זיתים,32.8116,35.4652,163.13
כפר חב''ד,31.990144,34.849103,55.337
כפר חיטים,32.8,35.5033,164.136
כפר חנניה,32.916,35.4238,170.75
כפר חסידים,32.7523,35.0942,140.283
כפר חרוב,32.7624,35.6642,170.226
כפר טבאש,32.7485,35.1707,142.986
כפר טרומן,31.9805,34.9277,59.266
כפר יהושע,32.6816,35.152,135.586
כפר יובל,33.2466,35.5964,210.518
כפר יונה,32.3177,34.9336,90.315
כפר יחזקאל,32.5669,35.3609,135.426
כפר יסיף,32.952,35.16,163.049
כפר יעבץ,32.2739,34.9655,87.555
כפר כמא,32.7211,35.4428,153.724
כפר כנא,32.7482,35.3438,150.989
כפר מימון ותושיה,31.4324,34.5384,7.122
כפר מל''ל,32.167567,34.894744,74.013
כפר מנדא,32.8124,35.2586,153.085
כפר מנחם,31.7321,34.8351,33.266
כפר מסריק,32.8912,35.0984,154.618
כפר מצר,32.6453,35.4221,145.821
כפר מרדכי,31.8315,34.7566,36.243
כפר נהר הירדן,32.7683,35.4356,157.603
כפר נוער בן שמן,31.9597,34.9291,57.611
כפר נטר,32.2719,34.872,83.166
כפר סאלד,33.196,35.658,208.664
כפר סבא,32.1782,34.9076,75.651
כפר סילבר,31.673,34.6121,13.968
כפר סירקין,32.0767,34.9228,67.188
כפר עבודה,32.2557,34.9397,84.58
כפר עזה,31.4834,34.5323,2.468
כפר עציון,31.6495,35.1152,53.98
כפר פינס,32.4827,35.0021,109.544
כפר קאסם,32.1141,34.9728,73.364
כפר קיש,32.6661,35.449,149.187
כפר קרע,32.5055,35.0543,114.033
כפר רות,31.9104,35.0353,60.5
כפר שמאי,32.9557,35.4579,176.169
כפר שמואל,31.8883,34.9348,51.964
כפר שמריהו,32.1871,34.8231,72.694
כפר תבור,32.6873,35.42,149.435
כפר תפוח,32.118,35.2498,91.015
כפר תקווה,32.7013,35.115,135.978
כרכום,32.9283,35.6063,181.315
כרכור,32.4728028,34.9742001,107.415
כרם ביבנה,31.817,34.7236,32.985
כרם בן זמרה,33.0392,35.4699,184.697
כרם מהר''ל,32.644325,34.99145,125.48
כרם שלום,31.2283,34.2846,2.081
כרמי גת,31.6056632,34.7737312,21.383
