loc,lat,long
זכרון יעקב,32.573905,34.951977
חדיד,31.969429,34.932156
חדרה,32.4340458,34.9196518
חוגלה,32.38907,34.924252
חוות יאיר,32.145289,35.104794
חולון,32.015833,34.787384
חולית,31.230563,34.32734
חורה,31.300399,34.935688
חורפיש,33.016688,35.347106
חיספין,32.8456305,35.7929907
חיפה,32.7940463,34.989571
חריש,32.4618771,35.0455828
חרמש,32.423726,35.118993
טבריה,32.795859,35.530973
טלמון,31.939475,35.133131
טנא,31.3754551959095,34.9569169172802
יאנוח-ג'ת,32.981568,35.241169
יבול,31.189458,34.318952
יבנה,31.8753534,34.7350096
יהוד מונוסון,32.0315718,34.8925712
יהוד מונסון,32.0340049,34.8859465
יכיני,31.482205,34.598634
יפו,32.049357,34.758355
יקנעם,32.660225,35.104606
יקנעם עילית,32.660225,35.104606
ירושלים,31.768319,35.21371
ירחיב,32.151536,34.967992
ישע,31.247595,34.403091
כוכב יאיר,32.220922,34.992405
כיסופים,31.374545,34.398992
כמהין,30.910327,34.430725
כמון,32.909119,35.360916
כסייפה,31.249246,35.083681
כפר אביב,31.831039,34.722577
כפר ברוך,32.646048,35.193078
כפר הס,32.247721,34.935137
כפר יונה,32.317719,34.933615
כפר מנחם,31.732077,34.835079
כפר מסריק,32.891218,35.098414
כפר סבא,32.178195,34.90761
כפר סילבר,31.675669,34.612311
כפר עזה,31.483416,34.532291
כפר שמואל,31.888259,34.934819
כפר תבור,32.687346,35.419972
כרם שלום,31.228281,34.284559
כרמיאל,32.914671,35.292417
להבים,31.373835,34.816952
לוד,31.951014,34.888075
לפיד,31.9175632202783,35.0319769718444
מבועים,31.44945,34.654994
מבטחים,31.242459558076,34.4077228099313
מגן,31.298108,34.427059
מודיעין,31.890267,35.010397
מודיעין  מכבים רעות,31.890267,35.010397
מודיעין מכבים רעות,31.890267,35.010397
מוצא עילית,31.793591,35.157
מורשת,32.826132,35.231997
מזכרת בתיה,31.853167,34.842421
מחולה,32.365285,35.51602
מיתר,31.327011,34.943213
ממבטחים,31.242423,34.407488
מעלה אדומים,31.777369,35.297955
מצפה יריחו,31.815688,35.395409
מצפה רמון,30.610203,34.801898
מרום גולן,33.132583,35.777071
מרכז שפירא,31.696927,34.707319
משואות יצחק,31.70261,34.689968
נהריה,33.0085361,35.0980514
נווה אור,32.589025,35.554544
נווה זיו,33.027399,35.18433
נחל עוז,31.47268,34.497675
ניצן,31.737518,34.630804
ניר אליהו,32.197593,34.949375
ניר בנים,31.671177,34.755012
ניר יצחק,31.23604,34.356702
ניר עוז,31.309697,34.402075
נירים,31.33573,34.394087
נירית,32.146206,34.984822
נס ציונה,31.932111,34.801327
נען,31.883208,34.859237
נשר,32.7649,35.049191
נתיב העשרה,31.572407,34.539322
נתיבות,31.423196,34.595254
נתניה,32.321458,34.853196
סופה,31.238309,34.341987
סמר,29.833968,35.022204
סרי לנקה,7.873053999999999,80.77179699999999
עולה חדשה מברזיל,-14.235004,-51.92528
עומר,31.264305,34.849864
עזריה,31.890495,34.911872
עידן,30.806291,35.299946
עין הבשור,31.280895,34.443446
עין המפרץ,32.902581,35.09304
עין השלושה,31.351722,34.403471
עין שמר,32.461917,35.00673
עכו,32.933052,35.082678
עלומים,31.453049,34.514711
עלי,32.071177,35.266859
עלמון,31.832068,35.296764
עמקה,32.977664,35.161807
ענתות,31.832068,35.296764
עפולה,32.610493,35.287922
עצמון,32.865802,35.252335
ערוגות,31.732798,34.77624
ערערה,32.496323,35.097292
ערערה בנגב,31.160927,35.019757
עשרת,31.824913,34.747459
עתניאל,31.438812,35.028163
פדויים,31.326275,34.612069
פטיש,31.3259948,34.563565
פלמחים,31.932705,34.706874
פרדס חנה,32.4728028,34.9742001
פרדס חנה כרכור,32.4728028,34.9742001
פרדסיה,32.305011,34.911731
פתח תקווה,32.084041,34.887762
צופים,32.197318,35.008912
צופר,30.559394,35.181474
צור הדסה,31.719374,35.096958
צור משה,32.298911,34.913117
צורים,32.8329734,34.9817657
צורית,32.902351,35.249106
ציפורי,32.7498101865936,35.2766599077972
צפת,32.964648,35.495997
צרעה,31.762653,34.966931
קבוצת יבנה,31.813987,34.719103
קדומים,32.21239,35.157388
קדימה צורן,32.277644,34.919297
קיבוץ בארי,31.424513,34.492567
קיבוץ סמר,29.833968,35.022204
קיסריה,32.519016,34.904544
קנדה,56.130366,-106.346771
קצרין,32.990998,35.689865
קריית אונו,32.054863,34.858858
קריית ארבע,31.529326,35.115625
קריית אתא,32.809144,35.119773
קריית ביאליק,32.832154,35.088407
קריית גת,31.611148,34.768459
קריית ים,32.849276,35.068929
קריית מוצקין,32.838202,35.079523
קריית מלאכי,31.730202,34.746996
קריית נטפים,32.117299,35.112115
קריית עקרון,31.862547,34.8219576
קריית שמונה,33.207933,35.570246
קרית אתא,32.809144,35.119773
קרית ביאליק,32.832154,35.088407
קרית גת,31.611148,34.768459
קרני שומרון,32.171553,35.097462
ראש העין,32.095838,34.952177
ראש צורים,31.667791,35.125288
ראשון לציון,31.9590813,34.8020886
"ראשל""צ",31.9590813,34.8020886
רבדים,31.773966,34.814807
רהט,31.394548,34.753934
רחובות,31.8943652,34.8115292
רינתיה,32.044365,34.928477
רכסים,32.749265,35.099581
רמלה,31.931566,34.872938
רמת גן,32.068424,34.824785
רמת השרון,32.137793,34.840278
רנן,31.33871,34.600358
רעים,31.386159,34.458823
רעננה,32.184781,34.871326
שבי ציון,32.982079,35.083005
שגב שלום,31.198361,34.839665
שדה אילן,32.75051,35.422429
שדה נחום,32.525068,35.480855
שדה נחמיה,33.188234,35.62307
שדה ניצן,31.230035,34.418363
שדי חמד,32.158488,34.9428062
שדרות,31.522694,34.595581
שהם,31.9957581,34.9488403
שוהם,31.9957581,34.9488403
שומריה,31.432154,34.884095
שלומית,31.1673893,34.3033322
שמשית,32.732527,35.246518
שער הנגב,31.5077257,34.6303372
שפיים,32.216586,34.822409
שפרעם,32.805765,35.169971
שריגים,31.678567,34.93509
תאילנד,15.870032,100.992541
תל אביב,32.0852999,34.7817676
תל מונד,32.256608,34.91846
תל שבע,31.247569,34.861193
תלמי יוסף,31.199958,34.363751
