cities,2019-06-13,2023-10-07,2025-06-13
"בית חג""י",30,30,11
בית חורון,37,37,16
בית חזון,25,25,15
בית חלקיה,71,61,21
בית חנן,128,108,29
בית חנניה,24,23,14
בית חרות,24,24,14
בית חשמונאי,75,70,24
בית יהושע,46,45,26
בית יוסף,15,15,11
בית ינאי,24,24,14
בית יצחק - שער חפר,33,32,19
בית ירח,21,21,12
בית יתיר,31,31,14
בית לחם הגלילית,44,44,23
בית מאיר,59,58,17
בית נחמיה,83,77,32
בית ניר,29,29,15
בית נקופה,46,45,12
בית סוהר השרון,41,40,26
בית סוהר מגידו,25,24,15
בית סוהר נפחא,5,5,3
בית סוהר צלמון,28,28,20
בית סוהר קישון,45,45,22
בית סוהר שיטה וגלבוע,16,16,9
בית ספר אורט בנימינה,27,26,15
בית ספר שדה מירון,85,84,19
בית עובד,104,101,29
בית עוזיאל,78,74,23
בית עזרא,125,50,15
בית עלמין מורשה,73,73,33
בית עלמין תל רגב,45,45,23
בית עריף,93,81,33
בית צבי,37,36,20
בית קמה,20,18,12
בית קשת,27,27,18
בית רימון,34,34,21
בית שאן,25,25,16
בית שמש,61,59,16
בית שערים,39,39,21
בית שקמה,98,44,8
ביתן אהרן,27,27,17
ביתר עילית,54,53,13
בלפוריה,31,31,17
בן זכאי,85,56,21
בן עמי,126,126,18
בן שמן,91,81,32
בני ברק,123,108,33
בני דקלים,18,18,10
בני דרום,98,48,19
בני דרור,43,43,24
בני יהודה וגבעת יואב,23,23,11
בני נצרים,19,17,3
בני עטרות,99,87,34
בני עי''ש,72,60,19
בני ציון,60,57,28
בני ראם,65,57,19
בניה,81,60,21
בנימינה,25,24,14
בסמת טבעון,46,46,21
בענה,66,66,23
בצרה,60,58,28
בצת,240,236,13
בקוע,69,67,20
בקעות,15,15,10
בר גיורא,54,52,14
בר יוחאי,73,73,18
ברוכין,35,35,26
ברור חיל,20,14,6
ברוש,30,21,12
ברטעה,25,24,17
ברכיה,76,42,10
ברעם,126,126,14
ברקאי,22,21,15
ברקן,32,32,25
ברקת,90,78,33
בת הדר,113,50,8
בת חן,28,28,18
בת חפר,28,28,18
בת ים,152,122,32
בת עין,43,41,11
בת שלמה,35,34,18
בתי מלון ים המלח,24,24,9
ג'דידה מכר,111,111,24
ג'וליס,56,56,23
ג'לג'וליה,65,64,30
ג'סר א-זרקא,21,20,10
ג'ש - גוש חלב,124,124,15
ג'ת,20,19,12
גאולי תימן,24,24,15
גאולים,37,36,22
גאליה,101,82,25
גבולות,19,15,6
גבים,211,63,7
גבע בנימין,19,19,11
גבע כרמל,35,34,19
גבעולים,39,33,9
גבעון החדשה,32,32,13
גבעות,49,48,13
גבעות בר,30,24,13
גבעות גורל,20,20,14
גבעות עדן,46,46,13
גבעת אבני,39,39,19
גבעת אלה,43,43,23
גבעת אסף,18,18,12
גבעת ברנר,96,84,25
גבעת הראל וגבעת הרואה,21,21,17
גבעת השלושה,87,83,32
גבעת וולפסון,43,42,21
גבעת וושינגטון,75,49,20
גבעת זאב,34,34,13
גבעת חביבה,25,24,15
גבעת חיים איחוד,24,24,13
גבעת חיים מאוחד,25,25,13
גבעת חן,83,77,30
גבעת יערים,52,51,12
גבעת ישעיהו,47,46,13
גבעת כ''ח,86,79,33
גבעת ניל''י,29,28,17
גבעת עדה,27,26,14
גבעת עוז,25,25,16
גבעת שמואל,116,100,33
גבעת שפירא,28,28,18
גבעתי,77,38,15
גבעתיים,128,109,33
גברעם,39,23,7
גבת,42,42,20
גדות,62,61,17
גדעונה,19,19,11
גדרה,85,67,19
גונן,69,69,13
גורן,144,143,15
גורנות הגליל,128,128,15
גזית,19,19,12
גזר,80,75,23
גיאה,92,39,8
גיבתון,99,87,26
גיזו,65,64,21
גילת,49,32,12
גינוסר,27,27,19
גינתון,92,84,35
גיתה,48,48,23
גיתית,16,16,12
גלאון,22,22,12
גלגל,13,13,9
גלעד,29,29,17
גמזו,75,69,25
גן הדרום,100,54,19
גן השומרון,27,26,14
גן חיים,60,58,29
גן יאשיה,29,29,17
גן יבנה,127,67,18
גן נר,17,17,10
גן שורק,135,112,29
גן שלמה,96,83,26
גן שמואל,21,20,11
גנות,137,120,34
גנות הדר,36,35,21
גני הדר,84,78,24
גני חוגה,19,19,14
גני טל,61,50,20
גני יוחנן,77,71,24
גני עם,74,71,30
גני תקווה,111,97,33
גניגר,36,36,19
געש,58,58,29
געתון,66,66,19
גפן,65,62,17
גרופית,8,8,7
גשור,19,19,10
גשר,19,19,11
גשר הזיו,179,179,16
גת,26,26,12
גת רימון,98,88,33
דבוריה,27,27,18
דביר,20,20,14
דברת,31,31,18
דגניה א,21,21,12
דגניה ב,21,21,12
דוב''ב,131,130,15
דוגה,18,18,14
דוגית,18,18,14
דולב,36,36,18
דור,33,32,16
דורות,28,16,7
דחי,27,27,15
דימונה,27,25,10
דיר אל-אסד,66,66,23
דיר חנא,33,33,22
דישון,188,187,11
דליה,30,30,18
דלית אל כרמל,48,48,20
דלתון,155,155,17
דמיידה,42,42,23
דניאל,29,29,11
דפנה,160,159,10
דקל,42,21,3
דריג'את,1,,
האון,23,22,12
הבונים,34,33,17
הגושרים,214,214,12
הדר עם,30,30,18
הוד השרון,94,85,31
הודיה,55,32,11
הודיות,39,39,20
הושעיה,39,39,22
הזורעים,23,23,14
החותרים,45,44,21
היוגב,32,32,16
היישוב היהודי חברון,32,32,11
הילה,69,68,16
המכללה האקדמית כנרת,4,3,
המעפיל,23,23,14
המרכז האקדמי רופין,33,33,20
הסוללים,46,46,23
העוגן,28,28,17
הר אדר,42,40,12
הר ברכה,21,21,17
הר גילה,41,40,11
הר הנגב,7,7,3
הר חלוץ,47,47,23
הר עמשא,35,35,16
הראל,66,65,21
הרדוף,43,43,24
הרצליה - מערב,86,77,30
הרצליה - מרכז וגליל ים,98,87,30
הררית יחד,29,29,22
ואדי אל חמאם,29,29,19
ואדי אל נעם דרום,62,43,12
ורד יריחו,10,10,7
ורדון,22,22,15
זבדיאל,26,26,15
זוהר,23,20,9
זיקים,381,168,6
זיתן,112,96,35
זכרון יעקב,30,29,14
זכריה,51,50,15
זמר,22,22,15
זמרת,92,65,5
זנוח,59,58,15
זרועה,20,15,7
זרזיר,45,45,23
זרחיה,29,26,16
זרעית,221,221,12
ח'וואלד,49,49,24
חבצלת השרון וצוקי ים,28,28,17
חג'אג'רה,46,46,23
חגור,67,65,30
חגלה,24,24,13
חד נס,22,22,15
חדיד,84,78,32
חדרה - מזרח,23,22,9
חדרה - מערב,18,16,10
חדרה - מרכז,24,22,10
חדרה - נווה חיים,20,18,11
חוואלד,44,44,23
חוות אירוח גורן,44,44,16
חוות גלעד,26,26,19
חוות יאיר,33,33,25
חוות יזרעם,10,10,6
חוות עדן,20,20,15
חוות ערנדל,5,5,5
חוות שיקמים,39,18,7
חולדה,74,70,23
חולון,183,146,33
חולית,150,78,3
חולתה,52,51,15
חוסן,66,65,20
חוסנייה,41,41,23
חוף אמנון,22,22,16
חוף בצת,86,86,14
חוף גולן,16,16,12
חוף גופרה,19,19,12
חוף זיקים,14,14,6
חוף כורסי,18,18,12
חוף כינר,18,18,14
חוף ניצנים,14,14,11
חוף סוסיתא,19,19,12
חוף קליה,8,8,5
חופית,24,24,14
חוקוק,27,26,19
חורה,38,36,13
חורפיש,86,85,18
חורשים,62,60,30
חזון,32,32,23
חי-בר יטבתה,9,9,8
חיבת ציון,22,22,13
חיננית,28,27,18
"חיפה - כרמל, הדר ועיר תחתית",63,63,20
חיפה - מערב,61,61,21
חיפה - מפרץ,77,77,22
חיפה - נווה שאנן ורמות כרמל,55,55,21
חיפה - קריית חיים ושמואל,81,81,21
חירן,34,34,13
חלוקים,18,18,12
חלמיש,31,31,21
חלץ,20,16,6
חמד,135,119,34
חמדיה,18,18,13
חמדת,13,13,10
חמרה,15,15,11
חמת גדר,22,22,9
חניאל,32,32,20
חניון הנתיב מהיר,75,75,34
חניתה,239,231,12
חנתון,40,40,22
חספין,33,33,18
חפץ חיים,62,53,20
חצב,79,69,19
חצבה,10,10,6
חצור,73,47,18
חצור הגלילית,100,99,18
חצרים,84,60,13
חרב לאת,23,23,13
חרוצים,53,53,28
חרות,45,44,26
חריש,22,21,15
חרמש,22,22,18
חרשה,38,38,19
חרשים,44,44,22
חשמונאים,60,59,23
טבחה,24,24,19
טבריה,36,36,14
טובא זנגריה,47,46,17
טורעאן,37,37,21
טייבה,37,35,24
טייבה בגלבוע,18,18,12
טירה,46,44,27
טירת יהודה,91,80,33
טירת כרמל,49,49,21
טירת צבי,14,14,10
טל - אל,54,54,23
טל מנשה,26,25,16
טל שחר,68,66,21
טללים,15,15,5
טלמון,38,38,19
טמרה,70,70,23
טמרה בגלבוע,21,21,14
טנא עומרים,29,28,14
טפחות,34,34,21
יבול,43,21,3
יבנאל,20,19,12
יבנה,128,93,23
יגור,46,46,22
יגל,118,99,35
יד בנימין,69,61,21
יד השמונה,52,51,12
יד חנה,29,29,18
יד מרדכי,210,90,6
יד נתן,28,25,14
יד רמב''ם,78,75,25
יהוד מונוסון,116,105,34
יהל,8,8,7
יובלים,41,41,22
יודפת,45,45,22
יונתן,22,22,14
יושיביה,49,31,7
יזרעאל,20,20,11
יחיעם,60,60,20
יטבתה,10,10,9
ייט''ב,11,11,8
יכיני,35,16,6
ינוב,36,35,21
ינוח ג'ת,67,67,21
ינון,53,46,18
יסוד המעלה,59,58,13
יסודות,71,67,23
יסעור,56,56,24
יעד,42,42,22
יעף,38,37,26
יערה,201,194,13
יערות הכרמל,42,41,20
יפיע,40,40,21
יפית,14,13,9
יפעת,40,40,20
יפתח,197,197,12
יצהר,23,23,19
יציץ,76,73,24
יקום,51,51,28
יקיר,34,34,27
יקנעם המושבה והזורע,42,42,20
יקנעם עילית,46,46,21
יראון,158,158,15
ירדנה,16,16,11
ירוחם,17,17,9
ירושלים - אזור תעשייה עטרות,21,20,14
ירושלים - דרום,43,42,11
ירושלים - כפר עקב,20,19,14
ירושלים - מזרח,34,30,9
ירושלים - מערב,49,48,12
ירושלים - מרכז,38,36,10
ירושלים - צפון,39,35,12
ירחיב,61,60,30
ירכא,75,75,23
ירקונה,80,75,30
ישובי אומן,23,23,13
ישובי יעל,21,21,12
ישע,72,57,4
ישעי,58,58,18
ישרש,108,95,28
יתד,68,30,3
כאבול,51,51,22
כאוכב אבו אלהיג'א,44,44,22
כברי,119,118,18
כדורי,25,25,17
כוחלה מכחול,1,,
כוכב השחר,14,14,10
כוכב יאיר - צור יגאל,40,39,25
כוכב יעקב,19,18,13
כוכב מיכאל,24,19,10
כורזים ורד הגליל,47,46,20
כושי רמון,5,5,4
כחל,31,30,19
כינרת מושבה,22,22,12
כינרת קבוצה,22,22,12
כיסופים,372,201,3
כישור,53,53,23
כלא דמון,43,42,21
כליל,79,79,20
כלנית,27,27,19
כמהין,4,4,2
כמון,32,32,22
כנות,65,51,20
כנף,17,17,11
כסייפה,52,51,12
כסלון,61,59,15
כסרא סמיע,62,61,21
כעביה,44,44,23
כעביה טבאש,43,43,23
כפר אביב,88,57,21
כפר אדומים,14,14,9
כפר אוריה,65,64,21
כפר אחים,59,49,18
כפר אלדד,29,29,10
כפר ביאליק,77,77,23
כפר ביל''ו,86,79,25
כפר בלום,105,105,12
כפר בן נון,73,69,22
כפר ברא,65,63,31
כפר ברוך,36,36,18
כפר גדעון,32,32,18
כפר גלים,49,48,21
כפר גליקסון,24,23,14
כפר גלעדי,366,365,12
כפר גמילה מלכישוע,14,14,9
כפר דניאל,78,73,28
כפר האורנים,57,57,22
כפר החורש,40,40,22
כפר המכבי,52,52,23
כפר הנגיד,100,75,23
כפר הנוער ימין אורד,39,38,20
כפר הנוער קריית יערים,44,44,12
כפר הנוקדים,18,18,7
כפר הנשיא,42,41,18
כפר הס,47,45,27
כפר הרא''ה,23,23,14
כפר הרי''ף וצומת ראם,59,52,17
כפר ויתקין,25,25,15
כפר ורבורג,58,43,16
כפר ורדים,76,76,19
כפר זוהרים,28,28,10
כפר זיתים,33,33,18
כפר חב''ד,124,111,35
כפר חיטים,28,28,17
כפר חיים,29,29,18
כפר חנניה,28,28,20
כפר חסידים,52,52,22
כפר חרוב,23,23,12
כפר טבאש,44,44,23
כפר טרומן,91,80,33
כפר יאסיף,59,59,23
כפר ידידיה,31,31,19
כפר יהושע,44,44,22
כפר יובל,270,270,12
כפר יונה,38,37,20
כפר יחזקאל,18,18,11
כפר יעבץ,39,37,26
כפר כמא,28,27,17
כפר כנא,33,33,20
כפר מונש,32,32,19
כפר מימון ותושיה,137,48,5
כפר מל''ל,74,68,30
כפר מנדא,46,46,21
כפר מנחם,38,38,16
כפר מסריק,143,141,24
כפר מצר,22,22,15
כפר מרדכי,77,57,20
כפר נהר הירדן,38,38,18
כפר נוער בן שמן,85,78,33
כפר נחום,25,25,17
כפר נטר,42,41,23
כפר סאלד,96,95,13
כפר סבא,75,71,30
כפר סילבר,79,46,10
כפר סירקין,86,82,33
כפר עבודה,46,44,27
כפר עזה,222,108,6
כפר עציון,43,42,11
כפר פינס,19,18,14
כפר קאסם,71,66,31
כפר קיש,22,22,15
כפר קרע,25,24,15
כפר רופין,18,18,14
כפר רות,57,56,21
כפר שמאי,53,53,19
כפר שמואל,79,74,23
כפר שמריהו,76,72,30
כפר תבור,24,24,16
כפר תפוח,23,22,19
כפר תקווה,45,45,21
כרכום,29,28,17
כרכור,1,,
כרם ביבנה,85,55,20
כרם בן זמרה,124,124,15
כרם מהר''ל,37,36,20
כרם רעים,36,36,19
כרם שלום,224,97,3
כרמי גת,40,35,12
כרמי יוסף,73,69,21
כרמי צור,37,37,11
כרמי קטיף,17,17,10
כרמיאל,76,75,23
כרמיה,317,133,6
כרמים,28,28,13
כרמית,26,25,12
כרמל,27,27,11
לב החולה,39,39,12
לבון,60,60,23
לביא,39,39,19
לבנון,18,18,12
לבנים,27,27,19
להב,21,20,12
להבות הבשן,76,76,13
להבות חביבה,19,18,12
להבים,28,20,12
לוד,122,104,34
לוזית,37,36,15
לוחמי הגטאות,95,95,22
לוטם וחמדון,30,30,23
לוטן,9,9,8
לטרון,63,62,21
לימן,218,217,13
לכיש,16,16,10
לפיד,58,58,23
לפידות,56,56,23
לקיה,80,51,13
מאור,26,25,12
מאיר שפיה,32,31,15
מבוא ביתר,55,54,13
מבוא דותן,23,23,17
מבוא חורון,59,56,19
מבוא חמה,23,23,13
מבוא מודיעים,67,64,24
מבואות יריחו,11,11,9
מבועים,16,12,8
מבטחים,104,57,4
מבקיעים,225,91,7
מבשרת ציון,44,43,12
מג'דל כרום,73,73,23
מג'דל שמס,54,53,10
מגדים,43,42,21
מגדל,32,31,19
מגדל העמק,41,41,19
מגדל עוז,35,35,11
מגדל תפן,58,58,22
מגדלים,20,19,15
מגל,19,18,13
מגן,63,43,5
מגן שאול,17,17,10
מגרון,18,18,12
מגשימים,100,89,33
מדרך עוז,27,27,16
מדרשת בן גוריון,11,11,4
מודיעין - ישפרו סנטר,73,70,23
מודיעין - ליגד סנטר,68,64,24
מודיעין מכבים רעות,70,65,23
מודיעין עילית,55,55,22
מולדה,13,,
מולדת,17,17,11
מועאוויה,28,27,17
מוצא עילית,42,41,12
מוקיבלה,18,18,10
מורן,31,31,22
מורשת,41,41,22
מזור,92,85,33
מזכרת בתיה,83,76,23
מזרע,33,33,18
מזרעה,103,103,21
מחולה,16,16,12
מחניים,52,51,18
מחסיה,59,58,15
מטווח ניר עם,343,145,5
מטולה,388,388,9
מטע,54,53,13
מי עמי,27,25,14
מייסר,20,19,15
מיני ישראל - נחשון,63,63,21
מיצד,26,26,8
מיצר,24,24,10
מירב,15,15,10
מירון,73,73,20
מישר,74,56,19
מיתר,29,29,13
מכון וינגייט,44,44,26
מכורה,15,15,11
מכללת ספיר,211,63,7
מכמורת,19,19,12
מכמנים,38,38,23
מלון אחוזת ירדן,23,23,14
מלון סיקס סנסס שחרות,7,7,7
מלון פרא,26,26,16
מלונות ים המלח מרכז,25,25,10
מלילות,39,33,9
מלכיה,215,215,11
ממשית,19,19,9
מנוחה,25,25,15
מנוף,43,43,22
מנות,103,100,16
מנחמיה,17,17,9
מנחת מחניים,55,54,18
מנרה,311,311,9
מנשית זבדה,39,39,20
מסד,37,37,21
מסדה,18,17,9
מסילות,19,19,13
מסילת ציון,60,60,19
מסלול,47,32,11
מסעדה,54,53,12
מע'אר,34,34,21
מעברות,27,27,17
מעגלים,56,33,9
מעגן,22,21,12
מעגן מיכאל,22,21,11
מעוז חיים,22,22,17
מעון,28,28,12
מעון צופיה,73,54,22
מעונה,80,80,18
מעיין ברוך,251,251,12
מעיין צבי,27,26,14
מעיליא,85,85,16
מעלה אדומים,15,15,8
מעלה אפרים,17,17,11
מעלה גלבוע,18,18,11
מעלה גמלא,20,20,13
מעלה החמישה,49,47,12
מעלה חבר,29,29,11
מעלה לבונה,22,22,18
מעלה מכמש,16,16,10
מעלה עירון,26,25,15
מעלה עמוס,29,29,10
מעלה צביה,36,36,23
מעלה רחבעם,28,28,10
מעלה שומרון,6,,
מעלות תרשיחא,87,87,17
מענית,26,25,15
מעש,99,92,33
מפלסים,232,96,6
מפעל אגריגדה,50,50,22
מצדה,25,25,7
מצובה,196,188,14
מצוק עורבים,72,72,13
מצוקי דרגות,16,16,6
מצליח,95,87,27
מצפה,27,27,15
מצפה אבי''ב,45,45,23
מצפה אילן,21,20,15
מצפה יריחו,13,13,9
מצפה נטופה,37,37,20
מצפה רמון,4,4,2
מצפה שלם,16,16,6
מצר,20,19,15
מקווה ישראל,131,108,32
מרגליות,433,433,10
מרום גולן,40,40,13
מרחב עם,13,13,6
מרחביה מושב,27,27,16
מרחביה קיבוץ,26,26,16
מרחצאות עין גדי,22,22,8
מרינה,92,,
מרכז אזורי דרום השרון,81,78,32
מרכז אזורי מבואות חרמון,165,165,12
מרכז אזורי מגילות,8,8,5
מרכז אזורי מרום גליל,67,67,19
מרכז אזורי משגב,46,46,22
מרכז חבר,22,22,12
מרכז ימי קיסריה,23,22,12
מרכז מיר''ב,35,34,19
מרכז שפירא,41,33,16
מרעית,41,41,11
משאבי שדה,16,16,5
משגב דב,83,58,19
משגב עם,412,411,10
משהד,35,35,20
משואה,13,13,9
משואות יצחק,47,32,15
משכיות,17,17,13
משמר איילון,77,72,23
משמר דוד,70,68,22
משמר הירדן,58,57,17
משמר הנגב,36,26,13
משמר העמק,27,27,16
משמר השבעה,146,125,33
משמר השרון,28,28,18
משמרות,21,20,14
משמרת,47,46,27
משען,75,40,9
"מתחם ""חנה וסע"" שפיים",59,59,30
מתחם בני דרום,86,50,20
מתחם סקי גלבוע,18,18,12
מתחם פי גלילות,91,82,30
מתחם צומת שוקת,30,29,13
מתחם שביל התפוזים,18,18,11
מתן,61,60,30
מתת,102,101,15
מתתיהו,57,57,23
נאות גולן,23,23,11
נאות הכיכר,19,19,11
נאות מרדכי,88,88,13
נאות סמדר,6,6,5
נאות קדומים,64,64,27
נאעורה,21,21,12
נבטים,58,45,12
נבי סמואל,33,33,13
נבי שועייב,31,31,17
נגבה,30,27,15
נגוהות,26,26,12
נהורה,29,25,12
נהלל,44,44,21
נהריה,243,243,17
נוב,27,27,12
נוגה,24,22,12
נוה איתן,21,21,16
נווה,14,9,3
נווה אור,17,17,11
נווה אטי''ב,44,42,8
נווה אילן,53,52,12
נווה דניאל,46,44,12
נווה זוהר,22,22,9
נווה זיו,114,114,17
נווה חריף,6,6,5
נווה ים,36,35,16
נווה ימין,64,62,30
נווה ירק,80,76,31
נווה מבטח,77,54,19
נווה מיכאל - רוגלית,50,50,15
נווה שלום,62,61,20
נועם,15,15,10
נוף איילון,64,64,22
נוף הגליל,43,43,23
נופי נחמיה,25,25,20
נופי פרת,16,16,10
נופים,33,33,25
נופית,45,45,23
נופך,93,86,34
נוקדים,30,30,11
נורדיה,36,35,21
נורית,18,18,11
נחושה,32,32,11
נחל עוז,434,185,7
נחלה,25,25,14
נחליאל,33,32,19
נחלים,97,87,33
נחם,59,59,18
נחף,53,53,23
נחשולים,32,31,15
נחשון,66,65,20
נחשונים,83,78,32
נטועה,140,137,14
נטור,21,20,10
נטע,21,21,13
נטעים,135,115,31
נטף,48,47,14
נילי,59,58,27
נין,31,31,17
ניצן,144,60,11
ניצנה,5,5,2
ניצני עוז,33,32,23
ניצנים,90,37,11
ניר אליהו,53,52,29
ניר בנים,26,26,17
ניר גלים,98,48,20
ניר דוד,18,18,13
ניר ח''ן,32,28,12
ניר יצחק,113,60,3
ניר ישראל,67,36,11
ניר משה,20,12,6
ניר עוז,148,77,5
ניר עם,503,243,6
ניר עציון,39,38,20
ניר עקיבא,17,13,9
ניר צבי,119,101,33
נירים,239,127,5
נירית,58,57,30
נמרוד,42,41,10
נס הרים,54,52,13
נס עמים,72,72,23
נס ציונה,145,124,29
נעורים,25,25,15
נעלה,51,51,22
נעמה,10,10,7
נען,90,83,24
נערן,9,9,6
נצר חזני,74,68,24
נצר סרני,115,98,29
נצרת,40,40,22
