loc,X,Y,N
אורות,34.735224085541,31.7424757745972,0
כפר ורבורג,34.725469335144,31.7193552512602,0
פדויים,34.6118474110405,31.3269501435309,0
רנן,34.6010255603871,31.3378415043374,0
בית אלעזרי,34.8032535255454,31.8444569650228,0
הרצלייה,34.8350674563174,32.1690171819808,0
קדרון,34.7959123081381,31.8154282182043,0
משואות יצחק,34.6910775427782,31.7028726227964,0
פטיש,34.5594120793443,31.3268881043951,0
נבטים,34.8825492638709,31.2234411183385,0
בית עריף,34.9344921787878,31.9957788720568,0
בני עטרות,34.9137448127603,32.0241341155092,0
ברקת,34.9531420334696,32.0131438694313,0
ישרש,34.8458656980119,31.9148368136014,0
רמת השרון,34.8407667807057,32.1361231639663,0
רהט,34.7559551556517,31.3927681489777,0
יכיני,34.6000034975637,31.482957779584,0
יושיביה,34.6092445172786,31.4430228432484,0
טירת יהודה,34.9333545847644,32.0132256706288,0
כפר טרומן,34.9238399445534,31.9804842622473,0
מגשימים,34.8986689542626,32.0467829931429,0
סביון,34.8779796665079,32.046670504905,0
גיבתון,34.7999441442791,31.8887284219986,0
גן שלמה,34.7982794044266,31.8782299849793,0
קריית מלאכי,34.7463103184028,31.7325169829981,0
אחיסמך,34.90748170657,31.9347587126772,0
גבעת ברנר,34.8012159419704,31.8659121575787,0
גת רימון,34.8830119727521,32.0687547749448,0
חצב,34.7699910328909,31.7806575783498,0
נחלים,34.9118990113877,32.0582380222144,0
רינתיה,34.9280563998521,32.0443989014385,0
תפרח,34.6769967107944,31.3256563084741,0
משמר הנגב,34.7189551948942,31.3639166531686,0
הוד השרון,34.8860334477129,32.1542831051446,0
שוהם,34.9453560183932,31.9980206623903,0
אורים,34.5237830127538,31.3045488948524,0
אביגדור,34.7435319392366,31.7097865969248,0
כפר אחים,34.7564677757051,31.7444206791972,0
בארות יצחק,34.9102338895577,32.041360435708,0
גינתון,34.9137746940875,31.9632730962419,0
מצליח,34.8745926963984,31.9058307454284,0
שפיר,34.7292275444358,31.6968086779423,0
להבים,34.814023619364,31.3700308577217,0
אלעד,34.9569708187256,32.0506719831489,0
מזור,34.9252525835119,32.0521763840194,0
נופך,34.9206033047768,32.043399140475,0
נען,34.85518344142,31.8834255645238,0
סתרייה,34.8450582197527,31.8907320409537,0
קריית עקרון,34.8217260421028,31.8616609996963,0
רעננה,34.8736855281102,32.1877650430217,0
תלמי יחיאל,34.762112298237,31.7539603023216,0
מרכז שפירא,34.7082244142712,31.6970440545592,0
עין צורים,34.7186103324409,31.6953773541279,0
צאלים,34.5348305860159,31.2035924488768,0
בית נחמיה,34.9551982812436,31.9755371712822,0
גמזו,34.9408286819662,31.9282452037304,0
גני הדר,34.8538388701003,31.878611036266,0
חדיד,34.9334118084142,31.9683688924703,0
עינת,34.9390647469673,32.0828620570197,0
ראש העין,34.9582659568423,32.0970736893186,0
ברור חיל,34.6452481905642,31.557740076737,0
מזכרת בתיה,34.8425939777946,31.8512836779508,0
ינון,34.7820554304212,31.7423459525496,0
בני ראם,34.7909153575378,31.7699700902113,0
גני יוחנן,34.8370833334332,31.857700045996,0
חפץ חיים,34.7977849330202,31.7897349129934,0
ירקונה,34.9003923306742,32.1473677824098,0
כפר דניאל,34.9320360730018,31.9327370098517,0
כפר קאסם,34.975985039267,32.1145123561958,0
מעלה שומרון,35.0704603808554,32.1661288988337,0
נחשונים,34.9484560800609,32.0611609889159,0
ניר משה,34.6314483430845,31.4774049671161,0
קריית גת,34.7743846179877,31.6046000032077,0
יד בנימין,34.8220692086841,31.7977336506641,0
אחווה,34.7688588951704,31.7436691492962,0
ערוגות,34.7721470187629,31.7341942545464,0
תימורים,34.7603339196253,31.7161627201751,0
תאשור,34.643740951034,31.3715258235954,0
גבעת השלושה,34.9215927328229,32.0981319797829,0
כפר סבא,34.9176906120154,32.1774457419886,0
כפר סירקין,34.9249406877095,32.0765594171933,0
כפר שמריהו,34.824840594277,32.1859159566037,0
נווה ירק,34.9244149881322,32.1349848674393,0
פתחיה,34.8870574137571,31.8668849613985,0
קרני שומרון,35.0957060395961,32.172087653845,0
רמות השבים,34.877482934162,32.1625063974889,0
רמות מאיר,34.8520758713634,31.8733307487448,0
נהורה,34.7051875232627,31.6228257444493,0
שחר,34.7259348343238,31.6208325240177,0
זרועה,34.6244224664664,31.4585196778709,0
איתן,34.7480313603577,31.5724058969144,0
אלפי מנשה,35.0142997663591,32.171446587352,0
ארסוף,34.8162289631675,32.2138453753785,0
בני ציון,34.8708570055523,32.2202174575812,0
גבולות,34.4658225349393,31.2104320111343,0
גני עם,34.9018011582094,32.1516602445248,0
יציץ,34.861124948093,31.8632247504799,0
מבוא מודיעים,34.986864925018,31.9339706504981,0
משמר איילון,34.9447700109225,31.8717716116433,0
ניר עקיבא,34.6467058607037,31.4699312724209,0
עדנים,34.909030245295,32.1393451995881,0
עוזה,34.7642041255866,31.5926723932811,0
רשפון,34.8244101426505,32.2004250530471,0
תלמים,34.6725893273764,31.5643767478287,0
זוהר,34.6925284880517,31.5958829395265,0
יד נתן,34.7047271160365,31.655135946565,0
פדיה,34.8815414689476,31.8578222371245,0
זרחיה,34.7460322950882,31.6815093300022,0
נגבה,34.6829576574642,31.6616945540274,0
שובל,34.7397197584271,31.4128093707006,0
כפר מסריק,35.1000029678799,32.8866009615786,0
עין המפרץ,35.1033637086854,32.9063861302471,0
אבן יהודה,34.8837267597359,32.2681554507264,0
אלקנה,35.0351498943611,32.1121895627598,0
בית קמה,34.7612350797775,31.4462558551115,0
בצרה,34.8795285539444,32.2134450386002,0
גן חיים,34.9059061751527,32.1952242009835,0
חגור,34.9472400499329,32.1378840691607,0
חולדה,34.882551948767,31.8306542289563,0
חורה,34.9346088129777,31.2985131571804,0
חורשים,34.9706103023955,32.1383448878137,0
טייבה,35.0103056942728,32.2663687686993,0
טירה,34.956412353154,32.2332801750201,0
יסודות,34.8549629450276,31.8155197609236,0
כסיפה,35.08004481141,31.2447193170557,0
כפר בן נון,34.948262880659,31.8598161711629,0
כפר ברא,34.970905233753,32.1310763628142,0
כפר הס,34.9382605614768,32.2487606741771,0
כפר יעבץ,34.9653939451068,32.2750113528617,0
כפר עבודה,34.9412815795699,32.2579548704324,0
כרמי יוסף,34.9205165237855,31.847991671811,0
נוגה,34.6938654897802,31.6237120025305,0
נווה ימין,34.9396323493517,32.1717140960313,0
עין ורד,34.9315494622261,32.2643420204664,0
עין שריד,34.9359462816889,32.2737306973477,0
ערערה-בנגב,35.0222680479446,31.1553589492359,0
קלחים,34.6775978162452,31.4477052813605,0
קלנסווה,34.9791750413551,32.2846309199719,0
שדה דוד,34.6833699966153,31.575600241656,0
שדי חמד,34.9446223038562,32.1603048386719,0
שער אפרים,34.9979430473864,32.2894798827218,0
שערי תקווה,35.0264949792554,32.1228195612786,0
תנובות,34.9628799780028,32.3067732973135,0
קוממיות,34.7302402547647,31.6623028703227,0
רווחה,34.7344360720591,31.6494523361811,0
אעבלין,35.1856652063498,32.8266691959109,0
עכו,35.0894899010254,32.9274901839206,0
קריית ביאליק,35.091881143516,32.8349858179083,0
קריית ים,35.0718596373102,32.8486593291993,0
קריית מוצקין,35.0801550995188,32.8385733820644,0
שפרעם,35.1720345968662,32.8054326952889,0
משגב עם,35.5490589080109,33.2467781298562,0
אבן ספיר,35.1331832607224,31.7624021772043,0
אבן שמואל,34.7630090211439,31.5757090097259,0
אודים,34.848300919847,32.2659554146433,0
אורנית,34.9922616783354,32.1300915379732,0
אלישמע,34.9278974023981,32.1522136093114,0
אשכולות,34.9049700545761,31.391044308248,0
בארותיים,34.9850667365664,32.3215257708361,0
בורגתה,34.9624936334709,32.3246312050809,0
בית זית,35.1618897109992,31.7823758265033,0
בית יהושע,34.8639930165449,32.2602015745597,0
בית נקופה,35.1262631931283,31.8042383003577,0
בית שמש,34.9906976154413,31.7452437746845,0
בקוע,34.9250934226688,31.8292697254558,0
בר גיורא,35.0715655646194,31.7295588555824,0
ג'לג'וליה,34.9550560221171,32.1506960922544,0
גאולים,34.9446292716953,32.298924742663,0
גבעת יערים,35.0921345037146,31.786630383641,0
גבעת ישעיהו,34.9477178638369,31.6704086645067,0
גנות הדר,34.9001198250806,32.3199296372628,0
גפן,34.8785344875929,31.7407957749769,0
גת,35.0378575976148,32.3991503975494,0
זכריה,34.9448040775968,31.7097117385408,0
חרות,35.000330686139,29.904615126942,0
טל שחר,34.9034994611792,31.8057609237066,0
ינוב,34.9499135307068,32.3070977356274,0
יעף,34.9646784101637,32.2675005753991,0
ירושלים,35.2095537973513,31.7797373515185,0
ירחיב,34.968834096908,32.1532187074198,0
כוכב יאיר,34.9947085902823,32.22125819578,0
כפר יונה,34.9291162368181,32.3161965920554,0
כפר נטר,34.8718871332306,32.2758213063688,0
כפר רות,35.0305976011679,31.9097641468793,0
כפר תפוח,35.2498439816059,32.1195192431569,0
להב,34.8694982939115,31.3791270266834,0
מבוא חורון,35.0375917947966,31.8477186555066,0
מבשרת ציון,35.150529475619,31.8001699246383,0
מגדלים,35.3422169470264,32.0901500749749,0
מוצא עילית,35.1574684026191,31.7939161053594,0
משמר דוד,34.9013553887679,31.8228510643206,0
משמרת,34.9207413309131,32.2280589228894,0
מתן,34.9729659394157,32.1585865832231,0
נטף,35.067762054831,31.8320709366851,0
ניצני עוז,35.0041847193968,32.3054856672687,0
ניר אליהו,34.9490047072014,32.1970121767417,0
נירית,34.9849525306448,32.1464986447042,0
נס הרים,35.0549058999297,31.7449244181413,0
נתניה,34.8559201938976,32.3127665593843,0
עגור,34.9127916189244,31.6968730162905,0
עולש,34.9863316548873,32.3325325186588,0
עוצם,34.7043991033713,31.6369843961327,0
עזריאל,34.970736742566,32.2618404959068,0
עין נקובא,35.1216679640719,31.7943693531156,0
עין ראפה,35.1136510750515,31.7903354584138,0
עלי,35.2725755687025,32.0745910980758,0
ענב,35.1273501493615,32.286043542244,0
עץ אפרים,35.0464129808652,32.119468183467,0
ערד,35.2128359310491,31.2560962880504,0
ערערה,35.0917791238782,32.5008377402292,0
פורת,34.9513543870878,32.2770898104756,0
צובה,35.1197238533964,31.7842262313406,0
צופית,34.9225253023794,32.1923814923798,0
צור נתן,35.0026863716413,32.2404128460738,0
צורן,34.9447465962527,32.2877541059225,0
קדימה,34.9110503170339,32.2794743079684,0
קציר-חריש,35.071785278197,32.4715393486099,0
רמת הכובש,34.938481837438,32.2178557021124,0
שדה יצחק,34.9945765114112,32.4034045574898,0
שדה משה,34.8086613513374,31.6099867872568,0
שדה צבי,34.7118240627333,31.449551784723,0
שדות מיכה,34.9206589202089,31.721046155221,0
שפיים,34.8273274931892,32.2198488401718,0
שריגים (לי-און),34.9350560749441,31.6773315114808,0
תירוש,34.8861267663893,31.750588545022,0
תל יצחק,34.8753804086333,32.2458215279446,0
תל מונד,34.9151325879557,32.2524780722119,0
בני עי"ש,34.7602245134038,31.7891233254057,0
גבעת כ"ח,34.9361295628126,32.0300339740373,0
יד רמב"ם,34.9015269152095,31.9005442361631,0
כפר ביל"ו,34.8260502606689,31.8729562686329,0
כפר חב"ד,34.8500033636913,31.9900947639612,0
כפר מל"ל,34.894408420039,32.1674615165869,0
ניר ח"ן,34.7146540970459,31.609304293522,0
פעמי תש"ז,34.6932742745221,31.4402895967253,0
תלמי ביל"ו,34.6460054448903,31.4380565622854,0
